#{"t_start": 1544904786.4205003, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,25,0.942118
0.0,30,0.970637
0.0,30,0.997762
0.0,40,1.041154
0.0,116,1.170476
0.0,55,1.219039
0.0,25,1.24907
0.0,38,1.285385
0.0,17,1.302946
0.0,25,1.327325
0.0,41,1.366461
0.0,43,1.409403
0.0,16,1.424117
0.0,18,1.438165
0.0,8,1.447502
0.0,14,1.465219
0.0,65,1.519527
0.0,14,1.5345
0.0,11,1.548075
0.0,19,1.567321
0.0,17,1.582843
0.0,68,1.651314
0.0,16,1.675103
0.0,22,1.693254
0.0,45,1.73401
0.0,30,1.759359
0.0,17,1.781544
0.0,63,1.8379
0.0,9,1.846527
0.0,86,1.924584
0.0,61,1.981372
0.0,38,2.014436
0.0,18,2.028744
0.0,32,2.060787
0.0,23,2.080671
0.0,16,2.095516
0.0,38,2.139363
0.0,16,2.15344
0.0,39,2.203078
0.0,44,2.268556
0.0,95,2.358843
0.0,5,2.363819
0.0,38,2.409961
0.0,13,2.423397
0.0,56,2.468915
0.0,30,2.49562
0.0,15,2.508871
0.0,10,2.516406
0.0,47,2.561585
0.0,30,2.587992
0.0,7,2.596599
0.0,26,2.619303
0.0,38,2.655744
0.0,127,2.779722
0.0,22,2.80108
0.0,71,2.861779
0.0,39,2.904487
0.0,11,2.917527
0.0,27,2.93972
0.0,18,2.954935
0.0,19,2.977329
0.0,26,3.003129
0.0,25,3.028529
0.0,34,3.060618
0.0,11,3.070643
0.0,164,3.254927
0.0,41,3.29655
0.0,25,3.319107
0.0,104,3.422873
0.0,17,3.438181
0.0,13,3.453118
0.0,31,3.483426
0.0,24,3.502669
0.0,56,3.546904
0.0,31,3.573937
0.0,20,3.59554
0.0,17,3.616616
0.0,17,3.65821
0.0,33,3.694613
0.0,15,3.718187
0.0,42,3.772478
0.0,20,3.799195
0.0,32,3.836411
0.0,7,3.845535
0.0,11,3.855766
0.0,53,3.902952
0.0,27,3.926718
0.0,14,3.938266
0.0,19,3.9675
0.0,12,3.98608
0.0,17,4.011551
0.0,32,4.064824
0.0,26,4.104564
0.0,13,4.116099
0.0,32,4.142367
0.0,13,4.155196
0.0,27,4.178751
0.0,19,4.197852
0.0,8,4.204035
0.0,16,4.219948
0.0,11,4.230085
0.0,8,4.237127
0.0,5,4.241575
0.0,57,4.301366
0.0,27,4.322744
0.0,7,4.330046
0.0,68,4.402234
0.0,44,4.440199
0.0,11,4.44917
0.0,49,4.502734
0.0,62,4.563632
0.0,17,4.589361
0.0,16,4.609215
0.0,38,4.638596
0.0,94,4.73749
0.0,52,4.824661
0.0,84,4.919193
0.0,12,4.931004
0.0,20,4.947176
0.0,5,4.951622
0.0,36,4.982062
0.0,15,4.996106
0.0,10,5.005558
0.0,17,5.020361
0.0,28,5.045576
0.0,36,5.075435
0.0,63,5.136899
0.0,11,5.146469
0.0,38,5.183716
0.0,28,5.209699
0.0,28,5.250731
0.0,17,5.279041
0.0,73,5.387307
0.0,55,5.504474
0.0,48,5.611098
0.0,48,5.681768
0.0,33,5.752964
0.0,80,5.873755
0.0,12,5.890603
0.0,10,5.898866
0.0,39,5.931973
0.0,11,5.94234
0.0,47,5.981757
0.0,13,5.993937
0.0,64,6.044218
0.0,24,6.064479
0.0,10,6.073363
0.0,31,6.102589
0.0,17,6.120156
0.0,47,6.171691
0.0,21,6.191068
0.0,20,6.209405
0.0,13,6.221531
0.0,78,6.292075
0.0,46,6.329161
0.0,52,6.375766
0.0,42,6.422467
0.0,17,6.443129
0.0,6,6.448156
0.0,21,6.466427
0.0,20,6.485847
0.0,103,6.595133
0.0,13,6.607515
0.0,11,6.615123
0.0,13,6.625767
0.0,23,6.644459
0.0,23,6.662347
0.0,16,6.686829
0.0,22,6.708277
0.0,44,6.75101
0.0,60,6.83164
0.0,28,6.859531
0.0,67,6.928257
0.0,13,6.937878
0.0,19,6.954631
0.0,9,6.964228
0.0,54,7.024012
0.0,26,7.044619
0.0,102,7.141068
0.0,19,7.158633
0.0,9,7.169377
0.0,35,7.208615
0.0,10,7.217985
0.0,24,7.250354
0.0,19,7.272402
0.0,7,7.28129
0.0,8,7.287618
0.0,35,7.325608
0.0,10,7.335054
0.0,21,7.357392
0.0,10,7.367683
0.0,17,7.390076
0.0,12,7.403398
0.0,9,7.413093
0.0,19,7.430733
0.0,43,7.47291
0.0,25,7.498254
0.0,8,7.504864
0.0,26,7.549647
0.0,9,7.559896
0.0,36,7.599989
0.0,14,7.613372
0.0,55,7.661141
0.0,54,7.710499
0.0,16,7.726538
0.0,17,7.753072
