#{"t_start": 1544904913.7514846, "env_id": "LunarLander-v2"}
r,l,t
-239.88182,76,0.662418
-100.652584,66,0.708708
-291.024209,103,0.778765
-430.598858,111,0.855156
-117.085165,104,0.927726
-344.432677,80,0.981414
-172.07731,70,1.032604
-274.031495,85,1.103835
-72.232183,97,1.169271
-377.437082,107,1.242618
-94.243014,96,1.306513
-114.60491,83,1.362797
-186.812233,124,1.448504
-109.396129,68,1.491266
-311.047391,129,1.581234
-357.75066,101,1.652496
-113.286807,67,1.702803
-72.885618,70,1.75309
-212.325572,104,1.821501
-7.000618,69,1.86914
-418.440848,100,1.94518
-75.542745,58,1.985473
-120.938535,110,2.069564
-445.118846,99,2.222921
-99.36383,117,2.332166
-49.517498,122,2.435738
-104.903204,60,2.483819
-227.203221,121,2.602427
-327.711148,135,2.714594
-440.476693,120,2.79713
-249.567203,127,2.893153
-282.946085,138,2.99401
-163.09704,108,3.087266
-330.436252,89,3.147997
-97.874313,76,3.197714
-82.509597,66,3.2546
-137.494177,159,3.39029
-91.813804,126,3.495801
-329.140776,140,3.600076
-108.875889,151,3.709492
-450.402695,165,3.84619
-265.080434,124,3.934272
-196.114109,110,4.031609
-213.859286,154,4.157304
-84.38758,122,4.244695
-38.95214,122,4.331403
-191.793749,108,4.406882
-422.699225,137,4.506301
-317.34008,138,4.619159
-318.710287,124,4.710077
-443.064463,91,4.771683
-84.225704,152,4.881374
-62.46888,189,5.071394
-685.659176,176,5.302778
-446.095295,189,5.462617
-507.877633,228,5.655349
-313.145418,206,5.832433
-181.694433,210,6.00371
-457.275703,177,6.147681
-211.806897,149,6.259699
-407.957458,140,6.359102
-313.65858,184,6.509959
-296.285524,258,6.738339
-322.377589,216,6.921345
-181.707159,139,7.021774
-338.94884,141,7.204814
-587.930855,210,7.416146
-210.117959,167,7.541268
-188.339682,195,7.690198
-142.13378,181,7.842478
31.342809,1000,9.316948
-169.178379,212,9.514264
-269.143931,290,9.779347
-85.770893,160,9.902424
-376.846514,137,10.001886
-155.627896,131,10.099993
-187.480647,140,10.204532
-232.981289,292,10.494711
-160.135107,132,10.592579
-190.503094,142,10.713972
-272.889771,166,10.854425
-165.576709,148,10.970319
-153.558106,231,11.177851
-257.941734,289,11.469554
-134.782381,183,11.622939
-96.941728,181,11.767934
-27.818052,99,11.844117
-241.044272,364,12.244091
-228.031042,161,12.38106
-164.966627,198,12.578225
-204.768595,248,12.871872
-180.316693,199,13.093731
-55.6686,173,13.305177
-66.423915,229,13.572623
-180.994681,138,13.718215
-39.78489,177,13.902521
-85.928535,180,14.118798
73.630059,151,14.278104
229.098427,978,15.730598
-192.462639,151,15.893946
27.16248,187,16.107479
-135.167717,169,16.29221
-81.87129,324,16.730982
-182.735721,136,16.85991
-255.515136,472,17.540458
5.363815,229,17.825242
-199.66704,200,18.069756
-2.357809,165,18.24045
-60.64131,179,18.430902
-92.028327,224,18.664182
