#{"t_start": 1544904964.6103747, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,88,2.511384
0.0,21,2.528258
0.0,25,2.549205
0.0,68,2.616561
0.0,19,2.633701
0.0,19,2.649117
0.0,34,2.682879
0.0,51,2.738799
0.0,40,2.777838
0.0,40,2.819175
0.0,47,2.861127
0.0,10,2.871611
0.0,56,2.923955
0.0,9,2.933401
0.0,25,2.95537
0.0,31,2.987695
0.0,38,3.02516
0.0,15,3.03582
0.0,38,3.069945
0.0,57,3.127223
0.0,18,3.143878
0.0,45,3.18644
0.0,64,3.243511
0.0,34,3.273875
0.0,89,3.37032
0.0,49,3.439093
0.0,72,3.548939
0.0,60,3.641346
0.0,10,3.649541
0.0,15,3.674769
0.0,42,3.745445
0.0,25,3.777822
0.0,22,3.800903
0.0,21,3.83301
0.0,20,3.858474
0.0,13,3.884444
0.0,37,3.928849
0.0,113,4.066164
0.0,31,4.117051
0.0,24,4.148392
0.0,22,4.172209
0.0,39,4.231197
0.0,49,4.310967
0.0,40,4.379131
0.0,7,4.384358
0.0,56,4.452429
0.0,39,4.503356
0.0,31,4.539683
0.0,51,4.614276
0.0,35,4.668138
0.0,11,4.676462
0.0,52,4.747003
0.0,19,4.777245
0.0,21,4.810012
0.0,17,4.826143
0.0,15,4.839241
0.0,15,4.863166
0.0,17,4.893803
0.0,68,4.978291
0.0,17,4.999033
0.0,42,5.061711
0.0,80,5.171206
0.0,12,5.195488
0.0,10,5.20376
0.0,23,5.260364
0.0,37,5.357382
0.0,25,5.418878
0.0,23,5.455681
0.0,64,5.575524
0.0,15,5.605039
0.0,33,5.663838
0.0,40,5.718014
0.0,59,5.802427
0.0,10,5.816697
0.0,17,5.845442
0.0,14,5.857111
0.0,59,5.942903
0.0,33,5.992921
0.0,26,6.027936
0.0,11,6.047357
0.0,43,6.110132
0.0,18,6.129857
0.0,20,6.160344
0.0,16,6.186851
0.0,45,6.253254
0.0,67,6.347136
0.0,10,6.370561
0.0,31,6.406869
0.0,30,6.448786
0.0,63,6.534482
0.0,23,6.579087
0.0,16,6.601318
0.0,120,6.773549
0.0,6,6.777671
0.0,42,6.841843
0.0,11,6.862637
0.0,71,6.95838
0.0,8,6.965233
0.0,35,7.025721
0.0,16,7.037019
0.0,48,7.116608
0.0,90,7.23953
0.0,30,7.295754
0.0,13,7.313004
0.0,17,7.334111
0.0,11,7.356044
0.0,38,7.417638
0.0,30,7.451098
0.0,10,7.467303
0.0,39,7.526211
0.0,32,7.564644
0.0,16,7.592605
0.0,30,7.634112
0.0,8,7.640387
0.0,9,7.65841
0.0,12,7.666864
0.0,33,7.717329
0.0,15,7.753666
0.0,22,7.790304
0.0,5,7.793951
0.0,79,7.905946
0.0,7,7.912145
0.0,38,7.963386
0.0,76,8.072334
0.0,29,8.107967
0.0,18,8.147267
0.0,26,8.192351
0.0,39,8.236872
0.0,48,8.308086
0.0,27,8.341388
0.0,16,8.36204
0.0,21,8.387304
0.0,9,8.407472
0.0,15,8.419376
0.0,13,8.438948
0.0,39,8.493649
0.0,13,8.525798
0.0,31,8.568906
0.0,10,8.589916
