#{"t_start": 1544905129.2963972, "env_id": "LunarLander-v2"}
r,l,t
-237.756956,95,1.527517
-168.55084,133,1.634607
-133.982671,123,1.727792
-235.079321,91,1.793725
-65.551738,79,1.848846
-51.392184,67,1.906075
-64.297846,64,1.957448
-140.86058,83,2.024797
-137.800066,110,2.109444
-75.791921,78,2.164649
-317.181005,82,2.227796
-88.804039,130,2.353881
-428.026734,100,2.456791
-174.399252,108,2.579416
-147.137076,77,2.650917
-398.65137,116,2.779754
-97.681687,84,2.859199
-169.657968,125,2.997587
-420.503884,121,3.1168
-140.332026,97,3.219586
-275.969985,96,3.311755
-88.671609,76,3.392487
-92.116636,77,3.478566
-87.676137,82,3.566602
-169.44504,121,3.693731
-272.915501,123,3.817434
-277.982708,83,3.905079
-195.005611,93,3.99649
-5.281956,133,4.157881
-254.914205,101,4.276366
-62.479208,86,4.362722
-246.966705,127,4.502335
-461.312307,124,4.620953
-356.542186,91,4.72445
-280.749612,99,4.843755
-414.752455,80,4.922238
-120.37277,155,5.090943
-352.476396,91,5.180447
-481.163096,160,5.366893
-252.732468,96,5.491855
-380.924602,139,5.730527
-672.103962,203,5.961823
-540.756012,149,6.120608
-295.554148,156,6.28383
-326.885665,82,6.360598
-277.641582,92,6.454911
-489.963265,102,6.554603
-252.775569,139,6.700846
-621.213058,148,6.854006
-628.378716,153,7.00688
-507.285934,166,7.185945
-520.925528,101,7.297562
-705.226099,186,7.495368
-460.825068,221,7.741298
-496.476328,149,7.939072
-213.995442,110,8.191362
-340.67359,200,8.601792
-365.060553,273,9.012607
-194.701632,97,9.194197
-362.33684,354,9.80455
-666.214179,191,10.091514
-432.098294,150,10.295774
-407.005368,202,10.569412
-151.046411,115,10.720473
-451.220959,182,10.995091
-512.941545,153,11.220913
-553.243677,160,11.460149
-592.946553,134,11.649799
-605.608916,172,11.888118
-490.211335,173,12.137392
-504.867402,202,12.423236
-663.983781,125,12.59381
-551.565805,115,12.752041
-396.889761,200,13.033775
-366.957562,140,13.230691
-343.33269,167,13.453242
-144.649306,180,13.69884
-489.243405,106,13.836991
-498.361193,88,13.948971
-117.687304,129,14.122477
-581.867623,99,14.246479
-553.432623,112,14.390713
-315.371088,155,14.611803
-202.996066,116,14.775171
-97.215565,119,14.948771
-195.960672,149,15.152677
-98.823437,118,15.315406
-401.06542,187,15.572278
-188.442786,134,15.770817
3.929517,117,15.977778
37.039092,1000,19.384481
-323.408086,162,19.643298
-310.024954,194,19.951437
-118.957944,161,20.181825
-186.127379,148,20.384129
-161.390511,146,20.615709
-28.543455,171,20.882941
-67.222889,117,21.052372
-41.791232,381,21.729606
-47.569227,181,22.005733
-30.795523,227,22.357927
-38.662466,337,22.929983
-118.759802,524,24.245037
40.200542,215,24.560213
187.208162,575,25.816241
-172.351202,254,26.202808
-152.813208,215,26.515719
-39.244737,204,26.820601
2.032592,181,27.087034
-65.732959,269,27.521985
154.368104,1000,29.862493
-166.311045,183,30.111245
-50.415758,625,31.41459
48.691593,175,31.686274
9.039526,318,32.174317
-8.722035,192,32.478134
-29.631911,163,32.705211
-34.67155,273,33.156066
-235.921284,320,33.71014
-57.032613,309,34.21564
161.109943,1000,36.132533
7.580302,220,36.453257
-16.326728,211,36.797117
16.277583,155,37.002988
-224.634034,297,37.497681
55.046979,190,37.760895
265.951283,964,39.697305
-182.898401,152,39.93635
-20.504714,326,40.508621
-39.313017,165,40.763065
7.212479,214,41.078308
234.346188,412,41.906893
-128.286674,204,42.221763
-33.332278,320,42.804024
-2.852169,223,43.142829
-20.828132,282,43.585632
-62.324538,379,44.268625
-34.631936,244,44.669971
-19.49861,151,44.885619
300.350883,292,45.352513
-24.517306,383,46.067274
180.30832,1000,47.956306
-25.952235,307,48.459028
-27.471402,276,48.918594
138.523435,1000,51.845937
-35.987524,356,52.601695
66.161738,970,55.752095
139.395815,1000,58.547959
-94.832871,270,59.08932
50.938442,1000,63.600713
-143.996943,142,63.930609
-152.484243,150,64.193294
15.247699,239,64.70813
-166.024956,148,64.974366
-145.042061,144,65.259462
4.132489,392,66.21888
227.672412,639,67.907486
60.544309,167,68.223436
228.361564,457,69.138649
219.877295,556,70.796398
44.738845,214,71.233554
1.690794,216,71.716728
202.825661,487,73.066142
211.510748,456,73.976398
-36.469004,444,74.983438
67.130725,1000,77.139651
18.177862,291,77.784211
223.201008,438,78.735879
33.310691,189,79.039238
42.160379,208,79.426405
67.195622,200,79.792412
218.982058,383,80.656214
160.217577,1000,83.210209
228.793179,500,84.310056
264.797786,623,85.685893
106.829585,1000,88.310957
221.113885,711,90.381387
233.736357,414,91.25472
284.697017,397,92.042686
-40.741847,374,92.841083
179.011823,618,94.604649
268.413599,788,96.313046
-38.311966,340,96.963828
111.448703,1000,99.730301
228.697357,334,100.3497
193.031268,470,101.431748
84.363201,201,101.80518
-64.397588,301,102.426428
101.077539,1000,105.118716
216.529779,778,107.185464
281.523374,574,108.517428
252.548318,463,109.611552
248.393074,401,110.472864
124.014195,1000,113.017635
42.874705,320,113.608696
249.446273,479,114.688826
223.211641,853,116.481029
25.142488,278,117.015478
274.051875,479,117.928175
234.932115,468,118.887073
3.593527,346,119.651939
-1.012743,354,120.306946
211.294425,466,121.247167
7.742105,248,121.772084
4.36311,366,122.526246
230.455288,468,123.545587
-25.636014,405,124.461398
214.291944,524,125.742236
232.306079,489,126.886447
227.16861,446,127.8896
187.725163,385,128.710715
11.673112,529,129.935308
259.517436,484,130.989748
212.40626,901,133.44
192.685622,482,134.420119
210.07309,491,135.804405
195.651024,414,136.639394
