#{"t_start": 1544905185.159244, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,29,3.522734
0.0,104,3.58379
0.0,23,3.597697
0.0,26,3.612584
0.0,42,3.648941
0.0,17,3.663425
0.0,49,3.706045
0.0,15,3.725389
0.0,17,3.743492
0.0,25,3.768239
0.0,36,3.811443
0.0,50,3.874459
0.0,16,3.896404
0.0,22,3.92037
0.0,9,3.928197
0.0,13,3.943961
0.0,13,3.959008
0.0,6,3.962199
0.0,16,3.979896
0.0,11,3.984693
0.0,24,4.018789
0.0,13,4.027274
0.0,29,4.069911
0.0,15,4.079125
0.0,35,4.120674
0.0,40,4.159005
0.0,73,4.22997
0.0,10,4.235608
0.0,24,4.266948
0.0,13,4.272687
0.0,14,4.285826
0.0,125,4.406684
0.0,59,4.461438
0.0,14,4.476712
0.0,16,4.49402
0.0,36,4.522242
0.0,16,4.542934
0.0,14,4.557702
0.0,43,4.591988
0.0,5,4.594037
0.0,20,4.611035
0.0,35,4.655259
0.0,79,4.730055
0.0,25,4.750591
0.0,9,4.764585
0.0,16,4.780312
0.0,114,4.904676
0.0,16,4.934429
0.0,13,4.957238
0.0,53,5.007554
0.0,12,5.022003
0.0,20,5.040807
0.0,84,5.116951
0.0,45,5.156097
0.0,51,5.205822
0.0,8,5.208989
0.0,13,5.222411
0.0,20,5.239177
0.0,19,5.25612
0.0,11,5.260507
0.0,73,5.329134
0.0,30,5.360794
0.0,14,5.366828
0.0,12,5.383693
0.0,43,5.424268
0.0,25,5.446682
0.0,27,5.48146
0.0,38,5.51991
0.0,40,5.551174
0.0,27,5.575807
0.0,43,5.612892
0.0,8,5.615938
0.0,15,5.633021
0.0,57,5.749136
0.0,7,5.753043
0.0,45,5.818991
0.0,32,5.84471
0.0,18,5.861442
0.0,13,5.890721
0.0,57,5.969954
0.0,32,6.005511
0.0,30,6.041332
0.0,11,6.045588
0.0,16,6.060142
0.0,13,6.079563
0.0,16,6.101464
0.0,38,6.130657
0.0,17,6.145225
0.0,13,6.162485
0.0,27,6.180878
0.0,145,6.314114
0.0,40,6.34635
0.0,29,6.368592
0.0,30,6.396585
0.0,14,6.403492
0.0,9,6.420049
0.0,54,6.465918
0.0,34,6.502037
