#{"t_start": 1544870031.336595, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,18,1.237276
0.0,31,1.263038
0.0,25,1.282229
0.0,16,1.296498
0.0,30,1.338818
0.0,14,1.358801
0.0,40,1.401403
0.0,5,1.406533
0.0,21,1.425673
0.0,48,1.468619
0.0,20,1.491126
0.0,9,1.50088
0.0,69,1.557363
0.0,28,1.580014
0.0,16,1.592188
0.0,48,1.628
0.0,16,1.641484
0.0,26,1.662157
0.0,12,1.674879
0.0,33,1.696134
0.0,25,1.714541
0.0,9,1.721207
0.0,12,1.731374
0.0,5,1.736353
0.0,33,1.761639
0.0,10,1.770838
0.0,13,1.794275
0.0,41,1.853179
0.0,22,1.879151
0.0,39,1.918102
0.0,13,1.928617
0.0,17,1.94206
0.0,9,1.949012
0.0,22,1.968489
0.0,23,1.984542
0.0,34,2.011822
0.0,30,2.035221
0.0,16,2.048621
0.0,18,2.063344
0.0,8,2.074149
0.0,10,2.081415
0.0,89,2.408659
0.0,28,2.50115
0.0,46,2.633659
0.0,23,2.696433
0.0,35,2.796713
0.0,30,2.876126
0.0,75,3.107584
0.0,36,3.21034
0.0,61,3.388835
0.0,67,3.597689
0.0,37,3.705453
0.0,10,3.732115
0.0,46,3.871582
0.0,27,3.948637
0.0,12,3.983183
0.0,59,4.166595
0.0,15,4.209477
0.0,46,4.358622
0.0,52,4.523346
0.0,32,4.612158
0.0,24,4.685663
0.0,27,4.760249
0.0,8,4.784945
0.0,13,4.825628
0.0,21,4.884161
0.0,42,5.010116
0.0,41,5.120997
0.0,7,5.138969
0.0,23,5.202422
0.0,134,5.712039
0.0,8,5.738613
0.0,7,5.759663
0.0,22,5.819431
0.0,67,5.999134
0.0,40,6.111419
0.0,81,6.330197
0.0,8,6.351018
0.0,47,6.482111
0.0,54,6.6389
0.0,12,6.69652
0.0,47,6.870015
0.0,163,7.318774
0.0,27,7.393755
0.0,22,7.450498
0.0,33,7.587284
0.0,17,7.661502
0.0,24,7.740477
0.0,10,7.76503
0.0,108,8.054844
0.0,56,8.212412
0.0,27,8.286384
0.0,13,8.325989
0.0,122,8.648565
0.0,15,8.692672
0.0,14,8.735784
0.0,90,9.100718
0.0,18,9.172711
0.0,18,9.261589
0.0,98,9.697476
0.0,10,9.735647
0.0,36,9.87517
0.0,42,10.022657
0.0,67,10.213342
0.0,100,10.482214
0.0,37,10.575053
0.0,108,10.927453
0.0,42,11.041231
0.0,40,11.15022
0.0,48,11.28919
0.0,129,11.631053
0.0,56,11.776873
0.0,138,12.15322
0.0,52,12.301449
0.0,102,12.587111
0.0,27,12.654454
0.0,60,12.814856
0.0,6,12.829836
0.0,32,12.916198
0.0,37,13.0208
0.0,34,13.118001
0.0,39,13.222173
0.0,105,13.562362
0.0,27,13.634046
0.0,47,13.766437
0.0,24,13.828852
0.0,8,13.850055
0.0,14,13.884454
0.0,54,14.033543
0.0,15,14.080466
0.0,120,14.424902
0.0,141,14.823487
0.0,44,14.963912
0.0,21,15.028615
0.0,103,15.347799
0.0,34,15.444901
0.0,51,15.609867
0.0,37,15.767626
0.0,31,15.879263
0.0,181,16.398537
0.0,115,16.785249
0.0,59,16.969841
0.0,80,17.254128
0.0,68,17.441671
0.0,26,17.507656
0.0,9,17.537246
0.0,82,17.766157
0.0,34,17.856158
0.0,53,18.000453
0.0,18,18.055267
0.0,54,18.206936
0.0,14,18.257421
0.0,21,18.317767
0.0,131,18.781372
0.0,44,18.902778
0.0,10,18.927073
0.0,35,19.05792
0.0,144,19.51538
0.0,31,19.605437
0.0,118,19.937164
0.0,72,20.203124
0.0,44,20.383739
0.0,119,20.811702
0.0,62,21.102667
0.0,81,21.452772
0.0,36,21.584212
0.0,65,21.819685
0.0,29,21.90983
0.0,51,22.083139
0.0,73,22.337341
0.0,102,22.649703
0.0,37,22.749218
0.0,24,22.817101
0.0,47,22.994653
0.0,43,23.158407
0.0,21,23.217942
0.0,116,23.61551
0.0,110,23.915586
0.0,15,23.958852
0.0,25,24.030183
0.0,60,24.196825
0.0,18,24.248453
0.0,97,24.541415
0.0,86,24.847634
0.0,162,25.333389
0.0,100,25.614671
0.0,39,25.718826
0.0,200,26.291512
0.0,162,26.730875
0.0,44,26.852466
0.0,92,27.105496
0.0,11,27.137401
0.0,200,27.707916
0.0,84,27.931535
0.0,52,28.081769
0.0,26,28.155251
0.0,81,28.374135
0.0,43,28.49524
0.0,61,28.677672
0.0,200,29.220089
0.0,64,29.399735
0.0,200,29.953906
0.0,106,30.249521
0.0,200,30.843108
0.0,129,31.191944
0.0,70,31.390368
0.0,114,31.727247
0.0,200,32.312897
0.0,44,32.444136
0.0,110,32.767128
0.0,137,33.156219
0.0,150,33.570381
0.0,71,33.765809
0.0,200,34.413115
0.0,200,34.97509
0.0,94,35.228286
0.0,108,35.5587
0.0,125,35.95442
0.0,188,36.52802
0.0,200,37.094154
0.0,200,37.747253
0.0,56,37.906891
0.0,37,38.004213
0.0,28,38.085267
0.0,200,38.655111
0.0,166,39.115809
0.0,83,39.351971
0.0,63,39.555865
0.0,23,39.616199
0.0,200,40.177241
0.0,200,40.761008
0.0,200,41.313638
0.0,200,41.875958
0.0,200,42.417817
0.0,200,42.963606
0.0,200,43.527556
0.0,40,43.62842
0.0,200,44.151352
0.0,194,44.69715
0.0,64,44.867053
0.0,154,45.298865
0.0,75,45.52331
0.0,200,46.071079
0.0,200,46.609891
0.0,128,46.948288
0.0,65,47.126922
0.0,29,47.206112
0.0,133,47.580666
0.0,71,47.770379
0.0,76,47.97418
0.0,171,48.452666
0.0,97,48.714772
0.0,92,48.961976
0.0,200,49.518427
0.0,45,49.640304
0.0,26,49.714169
0.0,76,49.920918
0.0,78,50.142654
0.0,38,50.248445
0.0,39,50.354394
0.0,200,50.900883
0.0,92,51.160591
0.0,117,51.492265
0.0,65,51.676353
0.0,167,52.142142
0.0,22,52.201714
0.0,200,52.76407
0.0,31,52.846933
0.0,31,52.9296
0.0,111,53.224946
0.0,58,53.376522
0.0,73,53.574595
0.0,200,54.119293
0.0,200,54.683083
0.0,111,54.98629
0.0,113,55.286824
0.0,49,55.425181
0.0,56,55.579053
0.0,200,56.111108
0.0,200,56.661939
0.0,55,56.815281
0.0,200,57.354922
0.0,12,57.385358
0.0,30,57.465863
0.0,139,57.85848
0.0,18,57.90539
0.0,22,57.965995
0.0,200,58.573929
0.0,49,58.713936
0.0,200,59.257597
0.0,200,59.822232
0.0,96,60.080092
0.0,200,60.62465
0.0,200,61.16438
0.0,35,61.251469
0.0,121,61.586828
0.0,200,62.144608
0.0,200,62.683089
0.0,200,63.23123
0.0,200,63.779113
0.0,152,64.186887
0.0,116,64.526369
0.0,119,64.860326
0.0,128,65.205058
0.0,63,65.374931
0.0,102,65.651647
0.0,200,66.196174
0.0,200,66.738338
0.0,9,66.762434
0.0,125,67.10506
0.0,200,67.63554
0.0,82,67.853848
0.0,163,68.297217
0.0,21,68.351614
0.0,148,68.77864
0.0,200,69.329205
0.0,200,69.889171
0.0,200,70.426326
0.0,37,70.535107
0.0,112,70.835618
0.0,200,71.395765
0.0,200,71.930399
0.0,166,72.390728
0.0,200,72.932362
0.0,200,73.468259
0.0,200,74.012154
0.0,128,74.375009
0.0,200,74.946518
0.0,200,75.484616
0.0,90,75.735184
0.0,16,75.780476
0.0,68,75.975965
0.0,200,76.518161
0.0,200,77.075597
0.0,17,77.118497
0.0,200,77.687555
0.0,129,78.04057
0.0,169,78.502356
0.0,187,79.003484
0.0,200,79.542115
0.0,162,79.977924
0.0,200,80.522417
0.0,200,81.063563
0.0,200,81.619468
0.0,200,82.1662
0.0,200,82.714463
0.0,15,82.754635
0.0,60,82.918598
0.0,96,83.172924
0.0,200,83.717864
0.0,134,84.068958
0.0,200,84.629544
0.0,160,85.071638
0.0,48,85.199176
0.0,200,85.742365
0.0,108,86.033064
0.0,200,86.556625
0.0,200,87.098909
0.0,65,87.274827
0.0,200,87.843707
0.0,200,88.382703
0.0,200,88.927803
0.0,29,89.006815
0.0,200,89.555806
0.0,116,89.880443
0.0,200,90.442003
0.0,33,90.532403
0.0,9,90.555492
0.0,200,91.107316
0.0,41,91.217089
0.0,12,91.250514
0.0,28,91.324819
0.0,42,91.442587
0.0,200,91.985683
0.0,200,92.535335
0.0,200,93.08778
0.0,200,93.655066
0.0,200,94.186726
0.0,200,94.754073
0.0,31,94.837177
0.0,131,95.189852
0.0,165,95.655102
0.0,200,96.203581
0.0,104,96.478151
0.0,200,97.004982
0.0,200,97.559549
0.0,124,97.914934
0.0,47,98.042719
0.0,200,98.564086
0.0,59,98.734033
0.0,200,99.276906
0.0,23,99.341841
0.0,200,99.906547
0.0,71,100.097054
0.0,19,100.148631
0.0,200,100.695
0.0,147,101.105371
0.0,105,101.393285
0.0,183,101.912914
0.0,111,102.208531
0.0,87,102.442506
0.0,28,102.51799
0.0,141,102.901167
1.0,75,103.104065
0.0,200,103.632084
0.0,14,103.668467
0.0,200,104.201001
0.0,80,104.4105
0.0,120,104.765774
0.0,63,104.936938
0.0,143,105.322514
0.0,37,105.426436
0.0,172,105.91197
0.0,41,106.022671
0.0,200,106.559942
0.0,117,106.885558
0.0,148,107.283845
0.0,137,107.680072
0.0,190,108.195246
0.0,200,108.740521
0.0,14,108.776636
0.0,74,108.990704
0.0,78,109.234857
1.0,49,109.370287
0.0,200,109.922666
0.0,146,110.321241
1.0,78,110.531944
0.0,22,110.589913
0.0,26,110.663286
0.0,36,110.764
0.0,45,110.886501
0.0,196,111.459855
0.0,19,111.518522
0.0,67,111.699449
0.0,114,112.007486
0.0,184,112.511571
0.0,7,112.53216
0.0,19,112.587503
0.0,200,113.123689
0.0,39,113.219857
0.0,200,113.743092
0.0,141,114.09816
0.0,19,114.143021
0.0,112,114.444743
0.0,184,114.963192
0.0,98,115.211052
0.0,57,115.356304
0.0,137,115.735902
0.0,14,115.777711
0.0,200,116.291839
0.0,200,116.848352
0.0,15,116.886511
