#{"t_start": 1544905803.7510006, "env_id": "LunarLander-v2"}
r,l,t
-232.526287,74,1.004543
-101.6006,81,1.073104
-70.185574,69,1.132143
-158.181186,110,1.220631
-168.371846,66,1.276971
-160.155945,92,1.348293
-214.729998,108,1.435679
-90.811274,93,1.524003
-129.30958,128,1.649795
-202.915688,89,1.741404
-95.483707,68,1.810322
-78.690864,106,2.184896
-116.153063,146,2.57332
-85.400664,71,2.776988
-249.446767,89,3.030683
-195.461405,130,3.448264
-77.863783,122,3.817703
-215.12952,73,4.0061
-62.31057,72,4.184003
-138.862505,79,4.388729
-419.160363,135,4.740526
-197.443786,104,5.025544
-15.629857,84,5.474228
-97.436451,138,5.885109
-218.097116,127,6.216971
-69.018368,105,6.504916
-143.353031,75,6.698426
-117.457814,82,6.910974
-45.779044,86,7.128742
-125.796651,89,7.353354
-93.022055,117,7.664941
-29.840638,137,8.020126
-219.978088,172,8.486223
-88.860553,146,8.861502
-17.129124,106,9.172064
-44.626776,150,9.55129
-113.289766,81,9.751518
-49.761046,105,10.015026
-94.16568,134,10.387151
-115.324123,107,10.665818
-71.32218,224,11.274597
7.235244,194,11.791438
19.065884,555,13.719402
-26.941415,582,15.790058
-87.463168,1000,19.804353
-33.874887,559,21.430696
-26.489407,1000,24.796984
-48.53779,1000,28.881514
-43.091037,1000,32.733422
-66.846865,1000,36.697871
-5.049092,1000,40.447261
-41.13809,1000,44.082367
-53.387332,1000,47.614645
-68.083564,1000,51.341877
-20.855037,1000,54.861885
-21.20884,1000,57.794643
-77.060057,1000,62.107863
-19.859761,1000,65.846298
-35.580534,1000,69.498552
-101.887422,1000,73.374995
-91.139625,1000,77.554622
-37.463332,1000,80.337163
-56.963509,1000,83.600416
-3.207941,1000,87.215509
-0.712388,1000,90.209671
-69.63091,1000,93.528201
-17.000412,1000,97.21564
6.695814,1000,99.938183
-85.908235,1000,103.478143
-14.519306,1000,107.177215
-23.534947,1000,110.458884
-7.289435,1000,113.510951
-38.085913,1000,116.668069
-4.807621,1000,119.927711
14.608685,1000,122.781819
-313.906863,951,126.142753
-48.039717,1000,129.320494
-17.604704,1000,132.093823
-28.796717,1000,136.543149
-35.347244,1000,139.817698
-8.356105,1000,143.289286
-31.703565,1000,146.272736
-34.862954,1000,149.409877
-73.33031,1000,153.556585
-77.336886,1000,156.580209
3.368588,1000,160.60813
-17.493517,1000,164.298372
15.758667,1000,167.750374
-44.383525,1000,170.894398
4.252372,1000,174.685105
-22.083863,1000,177.807332
10.066907,1000,181.600037
-4.413176,1000,184.452106
-2.015994,1000,187.619535
66.624869,1000,191.036722
-7.928793,1000,193.896244
81.439899,1000,197.634922
-14.531861,1000,200.693054
260.926051,446,201.813784
19.612081,1000,205.021499
239.046985,230,205.548369
242.2832,368,206.41744
289.664378,350,207.203995
235.64946,881,209.806713
253.853474,885,213.115154
192.341548,802,215.622662
262.600513,254,216.166253
256.270718,400,217.113982
210.750106,288,217.801059
235.650802,551,219.442576
232.230032,588,221.091325
227.687871,475,222.392571
271.828676,219,222.869354
9.747333,1000,226.630418
194.938992,813,229.416575
245.596179,368,230.386682
-33.846145,1000,234.477731
67.586583,1000,237.501116
267.681352,296,238.16842
-50.668584,1000,242.130242
-27.431629,1000,245.794693
-46.122506,1000,249.112306
21.324052,436,250.182844
126.652416,836,253.098525
9.212195,1000,256.74812
30.808403,1000,259.957659
-31.832438,1000,263.736148
31.726083,1000,266.924693
-41.042678,1000,270.50959
-0.149695,1000,273.423077
-6.802344,1000,277.413267
304.425949,275,277.996035
201.958641,955,280.388419
-12.242509,1000,283.810186
178.064281,931,288.217468
-9.360594,1000,291.52226
212.417784,650,294.229778
-33.303273,1000,298.505919
-20.387443,1000,302.862656
167.823179,632,305.869118
207.630018,898,308.775889
232.771778,328,309.586466
225.801214,327,310.475016
14.948238,1000,314.073583
21.966722,1000,319.41373
244.463192,305,320.633776
243.80425,269,321.230438
275.152324,275,321.922449
-64.132657,126,322.201254
176.831741,990,325.504799
217.344567,600,327.383901
255.664754,351,328.300598
67.270663,1000,332.099046
275.45831,562,333.952898
285.296264,332,334.892799
272.313177,311,335.732455
-75.365097,199,336.263326
283.005462,265,337.135221
269.712384,681,339.315132
