#{"t_start": 1544997843.343022, "env_id": "FrozenLake8x8-v0"}
r,l,t
1.0,57,0.000902
0.0,29,0.001236
0.0,31,0.001569
0.0,36,0.001946
1.0,31,0.002273
0.0,14,0.002472
0.0,63,0.003106
0.0,31,0.003431
0.0,33,0.003777
0.0,27,0.004066
0.0,20,0.004289
0.0,49,0.004785
0.0,45,0.005249
0.0,22,0.00549
0.0,57,0.00606
0.0,24,0.006434
0.0,32,0.007076
0.0,26,0.007592
0.0,17,0.00786
0.0,8,0.007981
0.0,41,0.008454
0.0,34,0.008985
0.0,57,0.009658
0.0,11,0.009805
0.0,9,0.009926
0.0,58,0.010516
0.0,50,0.011029
0.0,32,0.011357
0.0,40,0.011771
0.0,13,0.011928
0.0,27,0.012214
0.0,28,0.012509
0.0,36,0.012876
0.0,18,0.013056
0.0,15,0.01321
0.0,48,0.013634
0.0,110,0.014592
0.0,12,0.014725
0.0,113,0.015679
0.0,12,0.015808
0.0,5,0.01588
0.0,24,0.016108
0.0,52,0.016568
0.0,19,0.016796
0.0,71,0.017429
0.0,38,0.017775
0.0,48,0.018203
0.0,10,0.018316
0.0,45,0.018732
0.0,27,0.018987
0.0,72,0.019611
0.0,14,0.019756
0.0,54,0.02026
0.0,15,0.020413
0.0,40,0.020772
0.0,67,0.021521
1.0,35,0.02196
0.0,11,0.022098
0.0,53,0.022598
0.0,40,0.023007
0.0,54,0.023488
0.0,24,0.023733
0.0,27,0.023992
0.0,5,0.024062
0.0,32,0.024364
1.0,38,0.024709
0.0,23,0.024937
0.0,27,0.025223
0.0,13,0.025367
0.0,5,0.025439
1.0,44,0.02596
0.0,38,0.026333
0.0,43,0.026739
0.0,10,0.026863
0.0,12,0.026993
1.0,46,0.0274
0.0,41,0.02777
0.0,71,0.028388
0.0,46,0.028822
1.0,47,0.029252
0.0,63,0.029813
0.0,9,0.029928
0.0,42,0.030312
0.0,33,0.030632
0.0,7,0.030735
0.0,51,0.031198
0.0,71,0.03183
0.0,71,0.032449
0.0,44,0.032856
0.0,32,0.033199
1.0,33,0.033518
0.0,32,0.03382
0.0,38,0.034173
1.0,31,0.034477
0.0,87,0.035245
0.0,7,0.035344
0.0,8,0.03545
0.0,35,0.03581
0.0,56,0.036311
0.0,14,0.036466
0.0,57,0.036976
0.0,7,0.037072
0.0,18,0.037261
0.0,35,0.037591
0.0,7,0.037688
0.0,40,0.038191
0.0,5,0.038287
0.0,71,0.038936
0.0,20,0.039149
0.0,29,0.03943
0.0,35,0.039763
0.0,30,0.040051
0.0,22,0.040274
0.0,35,0.040608
0.0,26,0.040861
0.0,57,0.041368
0.0,45,0.041779
0.0,40,0.042148
0.0,37,0.042498
0.0,44,0.042902
1.0,30,0.04319
0.0,63,0.043747
0.0,9,0.043862
1.0,65,0.044436
0.0,9,0.044552
0.0,33,0.044864
1.0,40,0.045234
0.0,16,0.045409
0.0,6,0.045497
0.0,12,0.045635
0.0,36,0.045968
0.0,11,0.046099
0.0,49,0.046546
0.0,12,0.046686
1.0,34,0.047004
0.0,12,0.047142
0.0,41,0.047529
0.0,13,0.047676
0.0,9,0.047791
0.0,31,0.048091
0.0,24,0.048327
0.0,95,0.049178
0.0,11,0.04932
0.0,54,0.049804
0.0,15,0.049969
0.0,13,0.050116
0.0,44,0.050525
0.0,16,0.0507
1.0,32,0.051003
0.0,24,0.051242
0.0,31,0.051539
0.0,5,0.05162
0.0,5,0.051701
0.0,27,0.051963
0.0,46,0.052413
0.0,46,0.052834
0.0,29,0.053111
0.0,13,0.053258
0.0,15,0.053422
0.0,38,0.053771
0.0,32,0.054071
0.0,44,0.054487
0.0,18,0.054684
0.0,21,0.054944
0.0,31,0.055251
0.0,51,0.055713
0.0,28,0.055986
1.0,45,0.056396
0.0,14,0.056555
0.0,65,0.057127
0.0,44,0.057528
0.0,7,0.057627
0.0,19,0.057826
0.0,117,0.0589
0.0,19,0.059165
0.0,58,0.059777
0.0,49,0.06028
0.0,33,0.060656
0.0,42,0.061062
1.0,140,0.06226
1.0,26,0.062525
0.0,53,0.063002
0.0,8,0.063112
0.0,27,0.063377
0.0,63,0.063942
0.0,5,0.064025
0.0,20,0.064233
0.0,56,0.064735
0.0,54,0.065221
0.0,52,0.065717
0.0,64,0.066289
0.0,24,0.066544
0.0,16,0.066724
0.0,40,0.067096
0.0,17,0.067294
0.0,49,0.067825
0.0,39,0.068396
0.0,43,0.068963
0.0,35,0.069372
0.0,24,0.069814
0.0,19,0.070166
0.0,22,0.070546
0.0,74,0.071305
0.0,33,0.07163
0.0,10,0.071759
0.0,19,0.071979
0.0,46,0.072405
0.0,29,0.072778
0.0,14,0.072949
0.0,45,0.073372
0.0,36,0.073739
0.0,25,0.074031
0.0,47,0.074526
0.0,27,0.074979
0.0,39,0.075455
0.0,48,0.076252
0.0,33,0.076661
0.0,24,0.076939
0.0,29,0.077278
0.0,31,0.077634
1.0,27,0.077912
0.0,7,0.078015
0.0,39,0.078395
0.0,36,0.078745
0.0,53,0.079233
0.0,11,0.079368
0.0,24,0.079611
0.0,10,0.079737
1.0,61,0.080312
0.0,18,0.080508
0.0,31,0.080845
0.0,109,0.081889
0.0,50,0.082446
0.0,29,0.082787
0.0,9,0.082918
0.0,14,0.08308
0.0,11,0.083213
0.0,10,0.083338
0.0,37,0.083687
0.0,34,0.08401
0.0,51,0.084482
0.0,31,0.084782
0.0,19,0.08498
0.0,53,0.085457
0.0,24,0.085697
0.0,21,0.085974
0.0,23,0.086205
0.0,33,0.086514
0.0,7,0.086604
0.0,12,0.086734
0.0,28,0.087029
0.0,52,0.087504
1.0,29,0.087903
0.0,24,0.088153
0.0,39,0.088508
0.0,32,0.088806
0.0,11,0.088928
0.0,13,0.089065
0.0,46,0.089475
0.0,9,0.08958
0.0,23,0.089797
0.0,68,0.090399
0.0,24,0.09063
0.0,29,0.0909
0.0,14,0.091049
0.0,80,0.091995
0.0,46,0.092682
0.0,31,0.092997
0.0,52,0.093464
0.0,15,0.09362
0.0,53,0.094128
0.0,53,0.094705
0.0,13,0.094857
0.0,9,0.094965
0.0,9,0.095069
0.0,24,0.095298
0.0,9,0.095405
0.0,45,0.095807
0.0,18,0.095985
0.0,5,0.096056
1.0,46,0.096466
0.0,31,0.096774
1.0,34,0.097095
1.0,69,0.097735
0.0,69,0.09835
0.0,41,0.098738
0.0,38,0.099089
0.0,27,0.09935
0.0,37,0.099688
0.0,47,0.100109
0.0,28,0.100377
0.0,23,0.100598
0.0,32,0.100894
0.0,13,0.101031
0.0,38,0.101397
0.0,82,0.10218
0.0,7,0.102277
0.0,16,0.102456
0.0,28,0.102722
0.0,43,0.103135
0.0,44,0.103529
1.0,52,0.103987
0.0,38,0.104332
0.0,56,0.104883
0.0,7,0.104977
0.0,7,0.105066
0.0,48,0.105495
0.0,35,0.105812
0.0,21,0.106017
0.0,9,0.106123
0.0,18,0.106305
0.0,13,0.106455
0.0,61,0.106996
0.0,48,0.107444
0.0,11,0.107569
1.0,61,0.108237
0.0,8,0.108444
0.0,52,0.109185
0.0,18,0.1094
1.0,27,0.109659
0.0,16,0.109826
0.0,17,0.109999
0.0,5,0.110071
0.0,9,0.110177
0.0,51,0.110653
0.0,33,0.110961
0.0,59,0.111493
0.0,18,0.111673
0.0,5,0.111744
0.0,39,0.112101
0.0,69,0.112714
0.0,9,0.11282
0.0,29,0.11309
0.0,69,0.11373
0.0,12,0.113865
0.0,48,0.114292
0.0,43,0.114713
0.0,46,0.115195
0.0,57,0.11571
