#{"t_start": 1544865645.1939268, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,10,0.9478
0.0,43,0.967922
0.0,17,0.977548
0.0,14,0.98532
0.0,13,0.992265
0.0,60,1.255729
0.0,25,1.266803
0.0,57,1.297116
0.0,15,1.304533
0.0,36,1.350458
0.0,27,1.364539
0.0,31,1.37818
0.0,40,1.430935
0.0,20,1.441048
0.0,16,1.449909
0.0,48,1.472204
0.0,36,1.490767
0.0,6,1.522843
0.0,20,1.531888
0.0,14,1.538868
0.0,35,1.559311
0.0,30,1.572605
0.0,40,1.633734
0.0,16,1.641489
0.0,6,1.644129
0.0,11,1.655146
0.0,56,1.689103
0.0,77,1.758173
0.0,10,1.764754
0.0,34,1.78077
0.0,17,1.789048
0.0,11,1.795391
0.0,48,1.847824
0.0,8,1.851535
0.0,15,1.859109
0.0,15,1.866452
0.0,14,1.872897
0.0,22,1.884852
0.0,13,1.925027
0.0,7,1.928761
0.0,14,1.936365
0.0,28,1.949523
0.0,50,1.97481
0.0,33,2.022593
0.0,72,2.058353
0.0,76,2.135494
0.0,21,2.146761
0.0,28,2.16224
0.0,36,2.18146
0.0,36,2.228831
0.0,42,2.266767
0.0,9,2.281652
0.0,53,2.355436
0.0,49,2.465509
0.0,48,2.501249
0.0,50,2.572811
0.0,34,2.602985
0.0,30,2.639607
0.0,50,2.692421
0.0,21,2.782176
0.0,21,2.804365
0.0,16,2.820117
0.0,5,2.826332
0.0,13,2.840984
0.0,10,2.853693
0.0,42,2.892542
0.0,47,3.019192
0.0,23,3.035175
0.0,32,3.068262
0.0,12,3.07538
0.0,16,3.13006
0.0,89,3.1948
0.0,18,3.212668
0.0,40,3.285466
0.0,20,3.308197
0.0,22,3.326657
0.0,29,3.358058
0.0,101,3.446121
0.0,44,3.468522
0.0,12,3.475288
0.0,9,3.510554
0.0,40,3.529955
0.0,37,3.552402
0.0,52,3.608536
0.0,34,3.63283
0.0,59,3.665441
0.0,24,3.686507
0.0,10,3.717233
0.0,53,3.747133
0.0,16,3.756438
0.0,39,3.78071
0.0,44,3.829836
0.0,20,3.838828
0.0,61,3.866193
0.0,44,3.912142
0.0,34,3.927134
0.0,16,3.935357
0.0,52,3.962864
0.0,12,3.995521
0.0,15,4.002102
0.0,12,4.007335
0.0,32,4.021907
0.0,28,4.034732
0.0,40,4.080942
0.0,44,4.101838
0.0,18,4.11137
0.0,40,4.13222
0.0,34,4.181384
0.0,25,4.192716
0.0,31,4.208653
0.0,10,4.213588
0.0,20,4.224916
0.0,15,4.233154
0.0,60,4.293519
0.0,24,4.315511
0.0,25,4.35029
0.0,24,4.377123
0.0,12,4.438882
0.0,52,4.479447
0.0,20,4.496524
0.0,9,4.504528
0.0,43,4.58298
0.0,20,4.613971
0.0,7,4.628631
0.0,19,4.650578
0.0,35,4.692057
0.0,27,4.722605
0.0,10,4.73102
0.0,33,4.805402
0.0,48,4.833125
0.0,11,4.839291
0.0,72,4.912694
0.0,12,4.917685
0.0,33,4.932788
0.0,15,4.940249
0.0,58,4.996465
0.0,31,5.015743
0.0,44,5.038917
0.0,35,5.057389
0.0,19,5.093499
0.0,24,5.10722
0.0,42,5.130113
0.0,42,5.152064
0.0,33,5.204695
0.0,37,5.222647
0.0,48,5.243192
0.0,5,5.245457
0.0,17,5.301242
0.0,33,5.328072
0.0,28,5.339911
0.0,8,5.344012
0.0,9,5.348068
0.0,75,5.418475
0.0,43,5.44596
0.0,135,5.546116
0.0,19,5.554999
0.0,20,5.563751
0.0,5,5.595274
0.0,35,5.61639
0.0,16,5.626705
0.0,13,5.635164
0.0,31,5.650277
0.0,11,5.656402
0.0,19,5.665689
0.0,123,5.814918
0.0,50,5.883443
0.0,50,5.966238
0.0,9,5.976961
0.0,39,6.0538
0.0,45,6.078775
0.0,15,6.087867
0.0,58,6.147831
0.0,21,6.157482
0.0,38,6.17612
0.0,72,6.248024
0.0,18,6.258277
0.0,70,6.293544
0.0,13,6.300351
0.0,67,6.371509
0.0,9,6.375975
0.0,11,6.381814
0.0,36,6.399758
0.0,11,6.404986
0.0,30,6.452791
0.0,8,6.456733
0.0,10,6.462112
0.0,28,6.476936
0.0,39,6.495606
0.0,7,6.499275
0.0,34,6.551901
0.0,39,6.575157
0.0,27,6.591243
0.0,12,6.600281
0.0,10,6.60642
0.0,20,6.617549
0.0,24,6.675051
0.0,37,6.694627
0.0,9,6.702494
0.0,83,6.77886
0.0,65,6.814759
0.0,26,6.827003
0.0,37,6.882195
0.0,11,6.887985
0.0,17,6.897168
0.0,36,6.914754
0.0,10,6.919954
0.0,11,6.924828
0.0,29,6.968627
0.0,20,6.989245
0.0,76,7.028405
0.0,18,7.037967
0.0,35,7.089437
0.0,18,7.102173
0.0,120,7.200324
0.0,10,7.205779
0.0,35,7.22785
0.0,34,7.245913
0.0,12,7.253375
0.0,43,7.301914
0.0,65,7.333235
0.0,9,7.337415
0.0,59,7.395559
0.0,41,7.415064
0.0,20,7.425105
0.0,33,7.472566
0.0,34,7.48821
0.0,41,7.508778
0.0,18,7.518124
0.0,35,7.569347
0.0,143,7.717077
0.0,24,7.736039
0.0,22,7.750684
0.0,9,7.754992
0.0,29,7.776019
0.0,32,7.841772
0.0,178,7.969953
0.0,48,8.005658
0.0,79,8.077973
0.0,81,8.165967
0.0,51,8.194018
0.0,49,8.21786
0.0,53,8.278104
0.0,7,8.281556
0.0,57,8.310596
1.0,62,8.383333
0.0,14,8.389794
0.0,97,8.468306
0.0,12,8.474735
0.0,12,8.482339
0.0,32,8.497917
0.0,13,8.505522
0.0,38,8.571784
0.0,21,8.582862
0.0,24,8.594214
0.0,23,8.606004
0.0,59,8.673151
0.0,22,8.685231
0.0,26,8.701327
0.0,46,8.723593
0.0,37,8.793781
0.0,38,8.824184
0.0,26,8.846679
0.0,33,8.871504
0.0,19,8.884873
0.0,15,8.950356
0.0,13,8.958015
0.0,23,8.979487
0.0,33,9.005206
0.0,59,9.087128
0.0,52,9.131041
0.0,44,9.173234
0.0,39,9.258642
0.0,5,9.263942
0.0,110,9.368208
0.0,58,9.410266
0.0,10,9.414789
0.0,29,9.430701
0.0,16,9.440465
0.0,21,9.499095
0.0,6,9.502767
0.0,105,9.579412
0.0,33,9.665002
0.0,60,9.713431
0.0,42,9.738974
0.0,63,9.797058
0.0,29,9.810634
0.0,22,9.820572
0.0,50,9.879286
0.0,45,9.908963
0.0,27,9.924358
0.0,12,9.930652
0.0,38,9.981845
0.0,73,10.016834
0.0,27,10.030163
0.0,30,10.07432
0.0,11,10.080165
0.0,31,10.097582
0.0,26,10.111358
0.0,29,10.132244
0.0,23,10.182012
0.0,29,10.197394
0.0,5,10.200331
0.0,15,10.208788
0.0,14,10.21684
0.0,5,10.219989
0.0,36,10.238978
0.0,61,10.292034
0.0,129,10.385512
0.0,36,10.410333
0.0,56,10.483791
0.0,45,10.513058
0.0,20,10.526095
0.0,17,10.536439
0.0,10,10.545774
0.0,44,10.606054
0.0,69,10.656093
0.0,35,10.713461
0.0,30,10.73107
0.0,47,10.754161
0.0,22,10.764929
0.0,51,10.829259
0.0,20,10.839315
0.0,7,10.846567
0.0,16,10.854742
0.0,16,10.862573
0.0,36,10.877498
0.0,32,10.924099
0.0,19,10.931874
0.0,50,10.956511
0.0,9,10.961443
0.0,28,11.005871
0.0,15,11.012624
0.0,12,11.019171
0.0,27,11.031097
0.0,20,11.043208
0.0,12,11.048877
0.0,47,11.106006
0.0,65,11.155804
0.0,35,11.179931
0.0,7,11.186584
0.0,10,11.237167
0.0,5,11.239673
0.0,132,11.34752
0.0,32,11.367524
0.0,8,11.371596
0.0,54,11.399733
0.0,12,11.406301
0.0,18,11.441635
0.0,16,11.448785
0.0,35,11.464764
0.0,7,11.468437
0.0,27,11.482534
0.0,10,11.488008
0.0,44,11.550959
0.0,97,11.624617
0.0,12,11.633465
0.0,11,11.683604
0.0,73,11.733587
0.0,24,11.747022
0.0,7,11.751289
0.0,13,11.75824
0.0,13,11.801089
0.0,38,11.821811
0.0,31,11.836718
0.0,22,11.847901
0.0,20,11.858653
0.0,10,11.899725
0.0,40,11.920679
0.0,15,11.929122
0.0,6,11.932124
0.0,20,11.942105
0.0,64,11.999548
0.0,49,12.024538
0.0,57,12.051442
0.0,27,12.094655
0.0,15,12.101606
0.0,11,12.1095
0.0,21,12.119477
0.0,28,12.135412
0.0,7,12.139322
0.0,17,12.152514
0.0,17,12.198687
0.0,37,12.220537
0.0,37,12.24029
0.0,33,12.255806
0.0,21,12.303079
0.0,28,12.321229
0.0,6,12.325454
0.0,26,12.341006
0.0,15,12.351413
0.0,24,12.364708
0.0,46,12.419976
0.0,18,12.430614
0.0,34,12.449722
0.0,88,12.524511
0.0,115,12.61483
0.0,28,12.630283
0.0,32,12.646862
0.0,16,12.655207
0.0,45,12.706975
0.0,20,12.717749
0.0,44,12.743006
0.0,6,12.745841
0.0,9,12.749971
0.0,7,12.753397
0.0,29,12.797107
0.0,52,12.824843
0.0,24,12.85014
0.0,18,12.860298
0.0,57,12.921494
0.0,9,12.925604
0.0,5,12.928251
0.0,11,12.935009
0.0,49,12.958185
0.0,19,12.969446
0.0,27,13.00963
0.0,18,13.018415
0.0,7,13.021915
0.0,16,13.029629
0.0,55,13.057405
0.0,30,13.099567
0.0,26,13.113183
0.0,27,13.127818
0.0,11,13.132417
0.0,33,13.149066
0.0,13,13.182737
0.0,53,13.207517
0.0,19,13.217383
0.0,27,13.230258
1.0,30,13.283461
0.0,10,13.28898
0.0,18,13.302261
0.0,53,13.348837
0.0,26,13.372841
0.0,7,13.382022
0.0,7,13.38768
0.0,10,13.447912
0.0,13,13.457695
0.0,33,13.487208
0.0,8,13.496342
0.0,12,13.505167
0.0,11,13.51603
0.0,22,13.536254
0.0,11,13.548426
0.0,143,13.728925
0.0,21,13.741026
0.0,40,13.762719
0.0,18,13.772932
0.0,20,13.783105
0.0,41,13.838604
0.0,23,13.85115
0.0,9,13.856584
0.0,29,13.875236
0.0,14,13.881456
0.0,26,13.894197
0.0,7,13.897466
0.0,17,13.936679
0.0,11,13.942375
0.0,13,13.950385
0.0,17,13.965815
0.0,13,13.977463
0.0,10,13.983196
0.0,25,13.999937
0.0,62,14.084999
0.0,17,14.101392
0.0,59,14.146085
0.0,16,14.199257
0.0,16,14.210889
0.0,37,14.234034
0.0,81,14.306445
0.0,17,14.314852
0.0,73,14.351123
0.0,9,14.355594
0.0,30,14.404233
0.0,18,14.412605
0.0,32,14.427192
0.0,42,14.450207
0.0,16,14.45897
0.0,24,14.509694
0.0,18,14.520437
0.0,12,14.530363
0.0,29,14.550704
0.0,28,14.567505
0.0,76,14.68538
0.0,18,14.699496
0.0,12,14.70689
0.0,48,14.754425
0.0,14,14.812493
0.0,11,14.821285
0.0,17,14.833309
0.0,25,14.853353
0.0,24,14.865431
0.0,77,14.935253
0.0,37,14.954217
0.0,47,14.978087
0.0,47,15.030314
0.0,9,15.033983
0.0,13,15.040433
0.0,60,15.071512
0.0,59,15.13102
0.0,19,15.144247
0.0,11,15.150074
0.0,10,15.155232
0.0,50,15.207477
0.0,37,15.23359
0.0,30,15.253409
0.0,23,15.272999
0.0,64,15.371931
0.0,15,15.384728
0.0,37,15.416818
0.0,43,15.480609
0.0,111,15.537085
0.0,32,15.584891
0.0,7,15.58791
0.0,19,15.59675
0.0,8,15.601094
0.0,45,15.62563
0.0,9,15.632259
0.0,37,15.681481
0.0,94,15.728057
0.0,15,15.762517
0.0,30,15.778879
0.0,63,15.817188
0.0,36,15.882129
0.0,30,15.901004
0.0,10,15.905915
0.0,9,15.913759
0.0,21,15.923986
0.0,61,15.987947
0.0,22,15.999463
0.0,27,16.012181
0.0,9,16.016304
0.0,13,16.022353
0.0,9,16.026519
0.0,12,16.032527
0.0,31,16.081781
0.0,18,16.090715
0.0,50,16.116435
0.0,20,16.126285
0.0,16,16.133739
0.0,32,16.18369
0.0,39,16.201401
0.0,12,16.207217
0.0,11,16.212107
0.0,18,16.221796
0.0,10,16.226794
0.0,57,16.292218
0.0,59,16.322059
0.0,9,16.326352
0.0,8,16.330107
0.0,47,16.385558
0.0,15,16.395029
0.0,33,16.420105
0.0,83,16.539084
0.0,22,16.556047
0.0,48,16.597193
0.0,29,16.623562
0.0,16,16.672695
0.0,20,16.684436
0.0,41,16.71277
0.0,62,16.783643
0.0,85,16.832324
0.0,30,16.847367
0.0,93,16.92358
0.0,20,16.932379
0.0,25,16.970892
0.0,41,16.989071
0.0,23,16.999133
0.0,49,17.025857
0.0,44,17.078361
0.0,9,17.082134
0.0,91,17.158751
0.0,21,17.169198
0.0,31,17.184519
0.0,15,17.191014
0.0,32,17.205548
0.0,58,17.266538
0.0,13,17.276185
0.0,19,17.294594
0.0,21,17.311996
0.0,49,17.396189
0.0,13,17.41256
0.0,10,17.421721
0.0,19,17.43627
0.0,19,17.449122
0.0,41,17.48746
0.0,20,17.553039
0.0,31,17.570635
0.0,39,17.603397
0.0,57,17.680295
0.0,30,17.694243
0.0,45,17.714795
0.0,35,17.730908
0.0,33,17.776477
0.0,12,17.782174
0.0,95,17.829406
0.0,46,17.895708
0.0,7,17.898654
0.0,41,17.930305
0.0,19,17.945832
0.0,43,18.02119
0.0,65,18.064928
0.0,8,18.069423
0.0,34,18.14184
0.0,35,18.163833
0.0,38,18.191349
0.0,13,18.198819
0.0,5,18.204546
0.0,36,18.276267
0.0,22,18.294643
0.0,16,18.313396
0.0,79,18.369245
0.0,27,18.430153
0.0,13,18.44031
0.0,25,18.454429
0.0,7,18.460245
0.0,34,18.480837
0.0,46,18.560003
0.0,12,18.569283
0.0,12,18.578429
0.0,10,18.585609
0.0,17,18.596219
0.0,16,18.609083
0.0,13,18.616093
0.0,14,18.630297
0.0,29,18.696273
0.0,39,18.723526
0.0,29,18.74783
0.0,27,18.769539
0.0,10,18.779204
0.0,43,18.855134
0.0,7,18.860977
0.0,45,18.897544
0.0,5,18.903332
0.0,35,18.929012
0.0,45,18.987933
0.0,9,18.995087
0.0,24,19.009045
0.0,11,19.014649
0.0,14,19.022193
0.0,9,19.027156
0.0,14,19.034338
0.0,8,19.037832
0.0,41,19.087436
0.0,38,19.115061
0.0,34,19.13342
0.0,50,19.189942
0.0,38,19.208208
0.0,34,19.223593
0.0,17,19.231623
0.0,38,19.277703
0.0,75,19.327899
0.0,23,19.376178
0.0,29,19.395762
0.0,12,19.404294
0.0,17,19.415204
0.0,34,19.442497
0.0,12,19.451956
0.0,36,19.514661
0.0,13,19.526466
0.0,64,19.569801
0.0,36,19.631189
0.0,36,19.653487
0.0,9,19.658985
0.0,18,19.668959
0.0,14,19.676143
0.0,10,19.681552
0.0,9,19.686791
0.0,22,19.6991
0.0,5,19.703134
0.0,31,19.749998
0.0,17,19.759594
0.0,29,19.776657
0.0,59,19.841254
0.0,39,19.8601
0.0,61,19.891237
0.0,57,19.95116
0.0,26,19.964418
0.0,41,19.987885
0.0,28,20.002445
0.0,10,20.037006
0.0,22,20.047623
0.0,27,20.061957
0.0,13,20.068001
0.0,20,20.077656
0.0,19,20.086917
0.0,22,20.130041
0.0,106,20.203437
0.0,31,20.268584
0.0,22,20.28348
0.0,47,20.320548
0.0,27,20.341414
0.0,36,20.400863
0.0,15,20.408401
0.0,56,20.438917
0.0,11,20.443894
0.0,53,20.504141
0.0,20,20.514929
0.0,54,20.543005
0.0,9,20.547009
0.0,12,20.552475
0.0,9,20.583514
0.0,12,20.58976
0.0,15,20.596297
0.0,11,20.602148
0.0,16,20.610332
0.0,34,20.626744
0.0,9,20.631515
0.0,15,20.639563
0.0,15,20.647016
0.0,45,20.696025
0.0,98,20.77462
0.0,6,20.777816
0.0,47,20.801109
0.0,16,20.809198
0.0,24,20.821113
0.0,49,20.875586
0.0,29,20.888162
0.0,43,20.909841
0.0,17,20.918489
0.0,37,20.96866
0.0,10,20.974219
0.0,43,20.998033
0.0,19,21.008126
0.0,22,21.018892
0.0,50,21.070585
0.0,14,21.077132
0.0,77,21.144854
0.0,72,21.177832
0.0,8,21.183893
0.0,26,21.196592
0.0,22,21.2393
0.0,48,21.261406
0.0,22,21.273889
0.0,14,21.28164
0.0,16,21.290956
0.0,30,21.338636
0.0,42,21.356351
0.0,16,21.363145
0.0,64,21.427952
0.0,33,21.449975
0.0,11,21.458195
0.0,69,21.525925
0.0,54,21.624358
0.0,18,21.639029
0.0,24,21.659292
0.0,41,21.686256
0.0,9,21.727369
0.0,38,21.751367
0.0,60,21.787013
0.0,48,21.849854
0.0,24,21.86638
0.0,43,21.896349
0.0,15,21.90831
0.0,78,22.017897
0.0,33,22.050018
0.0,23,22.067501
0.0,44,22.143471
0.0,32,22.165229
0.0,25,22.18175
0.0,95,22.286771
0.0,5,22.289038
0.0,35,22.308883
0.0,69,22.39922
0.0,23,22.416706
0.0,10,22.424009
0.0,40,22.469578
0.0,65,22.569361
0.0,5,22.575081
0.0,63,22.6232
0.0,23,22.674682
0.0,24,22.686858
0.0,16,22.6944
0.0,13,22.701184
0.0,28,22.714896
0.0,46,22.775608
0.0,12,22.780934
0.0,67,22.812491
0.0,16,22.819957
0.0,13,22.826275
0.0,43,22.879588
0.0,13,22.885913
0.0,29,22.900296
0.0,39,22.922601
0.0,19,22.933756
0.0,19,22.976595
0.0,17,22.985469
0.0,27,23.001519
0.0,27,23.018207
0.0,38,23.043094
0.0,10,23.090777
0.0,121,23.214265
0.0,59,23.275482
0.0,46,23.316432
0.0,28,23.392785
0.0,20,23.40337
0.0,33,23.419716
0.0,32,23.439443
0.0,36,23.461038
0.0,19,23.516209
0.0,54,23.568884
0.0,58,23.675684
0.0,22,23.695218
1.0,53,23.746461
0.0,13,23.758291
0.0,89,23.868194
0.0,13,23.876413
0.0,9,23.880483
0.0,64,23.944443
0.0,23,23.955173
0.0,14,23.962002
0.0,23,23.974292
0.0,16,23.983373
0.0,37,24.002541
0.0,12,24.05052
0.0,36,24.079425
0.0,10,24.086012
0.0,25,24.105868
0.0,25,24.129426
0.0,27,24.191161
0.0,18,24.201987
0.0,12,24.211036
0.0,41,24.24331
0.0,15,24.251873
0.0,7,24.259158
0.0,18,24.276478
0.0,15,24.287813
0.0,30,24.345537
0.0,34,24.362072
0.0,66,24.427227
0.0,11,24.433398
0.0,13,24.440697
0.0,6,24.444556
0.0,7,24.448153
0.0,26,24.462368
0.0,22,24.478257
0.0,33,24.516023
0.0,57,24.63243
0.0,39,24.664552
0.0,24,24.688324
0.0,14,24.699388
0.0,71,24.793468
0.0,67,24.869389
0.0,18,24.879499
0.0,20,24.889933
0.0,17,24.899362
0.0,17,24.908417
0.0,46,24.9389
0.0,25,24.993547
0.0,25,25.008519
0.0,23,25.022547
0.0,32,25.039708
0.0,49,25.101795
0.0,9,25.107144
0.0,14,25.115356
0.0,34,25.139502
0.0,27,25.163401
0.0,16,25.174314
0.0,7,25.219356
0.0,21,25.235407
0.0,48,25.27593
0.0,10,25.286664
0.0,24,25.307326
0.0,46,25.389232
0.0,15,25.400423
0.0,38,25.43108
0.0,14,25.443679
0.0,25,25.465666
0.0,9,25.473418
0.0,15,25.527011
0.0,14,25.536247
0.0,8,25.542025
0.0,28,25.56791
0.0,12,25.576228
0.0,45,25.608153
0.0,63,25.693062
0.0,23,25.70888
0.0,13,25.71817
0.0,19,25.730579
0.0,12,25.740319
0.0,14,25.796403
0.0,66,25.833376
0.0,27,25.846792
0.0,8,25.851033
0.0,21,25.897703
0.0,43,25.925479
0.0,7,25.930062
0.0,33,25.94911
0.0,18,25.959401
0.0,41,26.032981
0.0,18,26.048224
0.0,17,26.064734
0.0,51,26.108644
0.0,33,26.179809
0.0,114,26.291953
0.0,26,26.359423
0.0,17,26.373684
0.0,30,26.393243
0.0,84,26.492203
0.0,11,26.500573
0.0,28,26.523179
0.0,62,26.577974
0.0,12,26.626469
0.0,52,26.665828
0.0,16,26.676935
0.0,19,26.696436
0.0,17,26.708496
0.0,20,26.757808
0.0,54,26.795874
0.0,26,26.815549
0.0,76,26.929932
0.0,79,27.007851
0.0,21,27.073484
0.0,10,27.082086
0.0,12,27.091189
0.0,27,27.110366
0.0,46,27.147478
0.0,37,27.226996
0.0,13,27.23343
0.0,12,27.240454
0.0,9,27.245014
0.0,10,27.252966
0.0,49,27.280243
0.0,9,27.284407
0.0,23,27.320483
0.0,30,27.335903
0.0,16,27.344489
0.0,19,27.355563
0.0,54,27.415059
0.0,41,27.516982
0.0,33,27.541066
0.0,24,27.559314
0.0,16,27.573288
0.0,20,27.590014
0.0,87,27.709405
0.0,22,27.72584
0.0,30,27.799144
0.0,11,27.807575
0.0,36,27.835325
0.0,29,27.853514
0.0,8,27.858611
0.0,8,27.864011
0.0,42,27.920256
0.0,12,27.927326
0.0,5,27.929792
0.0,27,27.943801
0.0,5,27.946614
0.0,13,27.954188
0.0,45,27.979371
0.0,18,28.026238
0.0,16,28.039194
0.0,12,28.048241
0.0,22,28.065962
0.0,34,28.099391
0.0,67,28.199151
0.0,16,28.214171
0.0,43,28.253756
0.0,29,28.27597
0.0,72,28.38517
0.0,11,28.399237
0.0,17,28.417461
0.0,12,28.42697
0.0,9,28.436615
0.0,11,28.492712
0.0,23,28.509518
0.0,16,28.525966
0.0,7,28.536655
0.0,44,28.575238
0.0,21,28.590942
0.0,199,28.80679
0.0,7,28.812475
0.0,14,28.825526
0.0,18,28.836577
0.0,95,28.915633
0.0,73,28.98613
0.0,30,29.003266
0.0,61,29.035245
0.0,16,29.044132
0.0,29,29.091375
0.0,28,29.108966
0.0,101,29.214972
0.0,9,29.226296
0.0,25,29.243474
0.0,11,29.253731
0.0,11,29.259313
0.0,14,29.271856
0.0,45,29.366201
0.0,19,29.385811
0.0,12,29.392523
0.0,16,29.406914
0.0,25,29.426662
0.0,30,29.44797
0.0,6,29.453337
0.0,110,29.588509
0.0,21,29.602913
0.0,26,29.667971
0.0,27,29.687037
0.0,50,29.716218
0.0,32,29.735489
0.0,30,29.783279
0.0,17,29.790617
0.0,8,29.793977
0.0,5,29.796351
0.0,15,29.803871
0.0,16,29.811517
0.0,33,29.82833
0.0,18,29.873747
0.0,25,29.889521
1.0,63,29.923597
0.0,29,29.941951
0.0,8,29.980347
0.0,18,29.992179
0.0,8,29.997015
0.0,23,30.015421
0.0,21,30.033991
0.0,27,30.058252
0.0,57,30.141509
0.0,41,30.175004
0.0,41,30.208416
0.0,25,30.264597
0.0,24,30.282229
0.0,21,30.293643
0.0,69,30.32739
0.0,17,30.363877
0.0,27,30.378906
0.0,37,30.398937
0.0,29,30.412974
0.0,51,30.480052
0.0,53,30.509371
0.0,13,30.518585
0.0,14,30.527383
0.0,10,30.534195
0.0,16,30.591743
0.0,30,30.614419
0.0,38,30.64454
0.0,48,30.683571
0.0,12,30.732481
0.0,26,30.749474
0.0,8,30.756124
0.0,12,30.762521
0.0,18,30.773167
0.0,23,30.786023
0.0,14,30.794096
0.0,13,30.801094
0.0,60,30.863793
0.0,11,30.868988
0.0,21,30.883268
0.0,5,30.886347
0.0,10,30.892216
0.0,14,30.899887
0.0,33,30.947683
0.0,19,30.958756
0.0,14,30.966183
0.0,19,30.976286
0.0,43,30.999473
0.0,45,31.049437
0.0,14,31.057813
0.0,24,31.071509
0.0,46,31.095438
0.0,41,31.143669
0.0,33,31.161058
0.0,15,31.167913
0.0,45,31.189407
0.0,16,31.236037
0.0,8,31.239854
0.0,61,31.266994
0.0,27,31.281669
0.0,14,31.288967
0.0,29,31.33789
