#{"t_start": 1544866454.3550017, "env_id": "LunarLander-v2"}
r,l,t
-147.444413,76,0.702626
-133.895249,66,0.927377
-73.967545,77,0.971939
-182.254941,83,1.043874
-451.792424,93,1.124391
-251.570236,92,1.182122
-143.610394,84,1.260318
-373.594448,104,1.359846
-288.383405,103,1.449381
-114.970126,62,1.488906
-214.616679,82,1.570142
19.301313,121,1.676417
-112.462405,159,1.81055
-96.371188,63,1.849334
-220.338158,83,1.924218
-108.1671,95,2.006683
-303.308725,85,2.060555
-202.372025,94,2.143846
-43.575927,118,2.244286
-149.334866,88,2.32578
-322.509884,95,2.40989
-145.559036,88,2.468894
-214.845979,77,2.535783
-183.334445,122,2.637412
-169.88369,71,2.68051
-105.449265,82,2.750454
-69.190395,66,2.789867
-122.333279,99,2.869383
-141.96151,92,2.946219
-89.230082,73,3.021589
-67.177072,135,3.141652
-139.257411,92,3.206255
-98.989708,79,3.281699
-117.98142,82,3.359827
-243.076276,117,3.436741
-140.909925,144,3.583654
-290.601522,118,3.687872
-193.244969,135,3.803249
-106.803208,81,3.857404
-212.107991,100,3.947201
-108.642044,55,3.979462
-303.530171,96,4.076105
-89.416757,70,4.156528
-280.288281,120,4.281282
-76.633656,64,4.32757
-57.327595,123,4.43651
-75.834234,69,4.531266
-230.62231,106,4.615407
5.582844,136,4.761844
-104.425842,103,4.826836
-107.414515,133,4.930004
-131.384406,133,5.033879
-91.160558,82,5.101219
-339.081802,123,5.196973
-254.051896,92,5.275724
-217.424951,60,5.310919
-97.446519,97,5.389588
-130.109381,92,5.498728
-113.442862,65,5.548059
-148.531406,62,5.670134
-201.295907,77,5.736299
-203.957113,113,5.857405
-188.236861,99,5.952965
-202.073622,128,6.056623
-169.26807,72,6.120969
-214.253708,120,6.20117
-160.159418,95,6.288396
-203.750976,92,6.373003
-163.188478,66,6.411696
-41.891139,81,6.48538
-110.880593,77,6.555647
-175.489422,96,6.618047
-161.479611,95,6.696434
-53.133886,158,6.81785
-115.546345,107,6.902909
-262.856091,96,6.982245
-166.431311,76,7.046995
-251.003609,128,7.149992
-163.924503,74,7.195891
-136.145237,111,7.284669
-227.877475,129,7.388303
-72.242792,66,7.44797
-129.446598,100,7.510156
-122.879569,85,7.584364
-220.776712,107,7.672573
-211.854717,114,7.766894
-109.967399,80,7.815165
-215.001802,140,7.927336
-11.194113,77,7.995377
-179.70691,173,8.137251
-70.050691,64,8.196016
-108.353251,85,8.26875
-118.089249,140,8.377695
-149.069146,121,8.473461
-88.833973,64,8.5106
-101.358899,113,8.602832
-259.927541,92,8.680175
-65.682449,79,8.728649
-154.303013,118,8.824969
-259.212034,103,8.916589
-133.591047,139,9.029414
-200.811666,123,9.128093
-222.738944,120,9.224074
-303.914286,96,9.305544
-81.763643,85,9.356842
-106.028655,92,9.433207
-247.686318,99,9.527467
-91.382304,93,9.610047
-157.652799,91,9.664866
-151.867125,115,9.76038
-143.939172,69,9.823965
-143.75695,121,9.924593
-112.978378,84,9.977338
-380.565791,105,10.067113
-365.239836,91,10.142118
-232.097093,121,10.24186
-240.523902,139,10.35423
-171.319291,115,10.449906
-97.75605,92,10.53984
-125.253408,142,10.657361
-65.063111,150,10.776363
-142.940729,92,10.856284
-88.291353,123,10.956311
-178.137898,107,11.020284
-109.168309,143,11.137862
-103.055033,155,11.290245
-98.740286,79,11.337193
-206.993448,135,11.446593
-220.309536,96,11.531193
-233.621495,151,11.659286
-49.83131,74,11.732356
-219.564893,123,11.848485
-162.266221,133,11.973285
-98.954253,140,12.131019
-178.392119,98,12.2471
-157.729306,144,12.390405
-72.69834,130,12.499321
-234.475269,95,12.588122
-79.741182,81,12.637847
-388.2833,143,12.752535
-255.359103,137,12.861874
-145.708612,101,12.946968
-201.906528,100,13.032045
-170.241307,61,13.071226
-262.951083,120,13.172943
-80.642334,127,13.280674
-265.776265,135,13.394371
-82.585606,93,13.473614
-118.366077,103,13.563572
-109.99408,118,13.673104
-199.539604,88,13.751334
-100.434395,101,13.818997
-37.139789,98,13.915035
-120.746655,129,14.042687
-278.926789,92,14.146667
-244.276083,125,14.262042
-187.438881,71,14.308046
-136.85377,132,14.426359
-247.842311,144,14.577456
-96.34492,99,14.643945
-68.831854,69,14.711554
-94.397772,157,14.852039
-133.48825,119,14.947583
-98.810576,105,15.03385
-105.414364,86,15.110887
-85.064031,125,15.219371
-259.636104,100,15.283476
-362.715858,83,15.359523
-80.643439,77,15.428897
-74.096747,118,15.52176
-50.486175,72,15.613443
-77.077503,78,15.697094
-81.740545,67,15.74541
-51.976573,162,15.893678
-94.208466,165,16.084456
-137.999994,128,16.196156
-177.112847,76,16.246035
-356.428386,148,16.371336
-83.240841,80,16.440419
-75.804279,99,16.536998
-73.038782,77,16.583077
-112.084313,116,16.680408
-74.082655,72,16.751287
-150.945474,109,16.841878
-180.898582,141,16.956078
-96.964564,110,17.046085
-111.126226,99,17.132036
-125.059246,87,17.183567
-96.631395,109,17.273606
-92.97929,95,17.352968
-110.460028,111,17.448372
-99.770123,109,17.539348
-243.767602,89,17.591856
-119.923479,120,17.690132
-4.327296,75,17.758116
-37.209442,134,17.864666
-196.709026,131,17.969249
-42.339128,125,18.070227
-236.552864,131,18.174799
-146.163952,113,18.271365
-252.104171,143,18.391122
-40.877271,115,18.487835
-107.184078,73,18.537427
-72.560408,208,18.737263
-257.418162,121,18.840167
-106.590284,121,18.93717
-62.47116,76,18.983504
-133.869082,110,19.07338
-40.810673,131,19.181619
-105.631576,149,19.307029
-68.07819,127,19.411196
-55.574471,85,19.482706
-97.281664,96,19.567618
-125.696093,151,19.692989
-292.252362,142,19.811858
-339.790533,159,19.945328
-122.1113,214,20.1457
-258.991615,154,20.27237
-452.985856,147,20.387211
-304.620531,240,20.622175
-32.727153,172,20.806123
-87.763218,326,21.132595
-278.424037,249,21.35786
-225.653076,236,21.58385
-261.392053,106,21.674309
-166.174993,125,21.772319
-122.872009,96,21.853677
66.435668,1000,23.841575
-164.593356,200,24.035642
-37.882207,117,24.136885
-81.328455,113,24.233615
-98.402155,162,24.368971
-337.671142,135,24.484523
-80.657097,105,24.575269
-344.981122,285,24.873687
-40.039011,127,24.976291
-237.02865,153,25.09983
-20.802908,152,25.230617
-52.508006,81,25.306804
-91.683325,188,25.497515
-111.614558,122,25.583712
-171.040339,126,25.691962
-232.215108,136,25.837154
-58.17971,85,25.893859
-226.217495,125,25.997483
-197.926358,119,26.10287
-38.957325,99,26.188695
-94.79065,256,26.444259
-125.783087,132,26.598403
-16.163406,130,26.737072
-111.816024,137,26.88623
-46.520638,269,27.165228
-72.2921,94,27.248877
-23.809169,151,27.375019
-172.227848,351,27.828384
-382.469033,261,28.113775
-134.694505,153,28.245055
-227.194589,116,28.373637
-420.216518,160,28.512041
-220.285954,153,28.694825
-102.697134,230,28.95354
-47.29876,91,29.048319
-82.073316,81,29.103997
-54.290326,97,29.203228
-221.535136,154,29.357136
-95.65327,233,29.602949
7.191689,126,29.713743
-162.633231,166,29.933585
-274.246881,137,30.057178
-55.341393,92,30.118691
-164.787415,157,30.265912
-85.973251,319,30.612063
-80.457296,82,30.688986
-106.2352,228,30.926074
-14.941638,205,31.119282
-44.278768,247,31.370783
49.176343,1000,33.123979
-63.36076,171,33.258651
-232.247425,180,33.428828
-75.624373,240,33.62928
-26.541262,139,33.77755
-163.40567,152,33.898705
-34.785795,93,33.958013
-106.110934,221,34.16375
-0.411412,151,34.290741
-77.332388,191,34.552956
-176.093213,181,34.69847
-58.108721,132,34.808965
-87.771957,198,34.986353
-73.086492,141,35.097488
-204.065115,130,35.213748
-92.563038,135,35.400617
-8.254904,104,35.489284
-42.04517,105,35.581995
-28.085397,117,35.69344
-58.957355,132,35.804221
-45.624257,136,35.917531
1.663637,132,36.032041
-45.200362,179,36.195929
-16.447616,100,36.290755
-159.00715,190,36.473751
-148.125842,180,36.687194
-45.487974,154,36.892821
-64.809946,175,37.054146
-43.602051,166,37.25109
-41.087223,125,37.35865
-1.189239,127,37.467406
2.353126,176,37.618995
-153.57219,125,37.735049
-23.011696,122,37.847489
16.875497,129,37.958751
-24.891384,138,38.078586
-35.011217,152,38.208196
-3.949959,113,38.309064
-86.96404,180,38.460646
-43.629852,162,38.637587
-24.402721,217,38.817499
-24.765234,105,38.914804
28.607253,167,39.109988
-22.084626,129,39.234722
-9.203489,113,39.385988
-45.917472,128,39.504509
29.312084,158,39.66198
44.28998,124,39.764254
3.160167,160,39.897292
-46.616018,319,40.217627
10.507641,1000,42.305029
38.693538,1000,44.179685
-42.950997,188,44.339588
-29.820606,135,44.455575
-19.7423,158,44.607445
-85.477088,339,44.98793
-36.848803,167,45.173173
-53.803905,283,45.570629
1.021263,290,45.882029
-125.783128,171,46.022426
-25.938127,249,46.277509
-39.380371,208,46.498123
11.381385,128,46.610074
67.32887,1000,48.804884
-67.69713,525,49.596959
-143.694834,200,49.809738
6.887995,180,49.963229
33.470807,145,50.091344
-52.347955,314,50.474172
-21.783353,176,50.624022
27.227252,214,50.846784
-71.684106,312,51.205648
-1.871495,218,51.415439
32.01609,1000,53.127745
-14.232443,366,53.588715
0.502149,188,53.771932
4.346412,343,54.188483
82.159992,1000,56.828784
-4.350078,1000,59.103296
-145.463723,571,59.903419
-133.630306,535,60.550325
21.371239,400,61.070163
