#{"t_start": 1544977616.6092644, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,31,0.001847
0.0,6,0.001994
0.0,38,0.002508
0.0,10,0.002685
0.0,19,0.00297
0.0,18,0.003243
0.0,15,0.003479
0.0,69,0.004574
0.0,10,0.005053
0.0,67,0.006518
0.0,8,0.006774
0.0,8,0.006961
0.0,45,0.007666
0.0,40,0.008296
0.0,24,0.008696
0.0,19,0.009028
0.0,47,0.009708
0.0,24,0.010081
0.0,11,0.010282
0.0,31,0.010718
0.0,39,0.011253
0.0,121,0.012813
0.0,12,0.013019
0.0,20,0.013321
0.0,28,0.013722
0.0,60,0.014514
0.0,63,0.015976
0.0,31,0.01673
0.0,35,0.017475
0.0,11,0.017823
0.0,16,0.018246
0.0,14,0.018629
0.0,36,0.019474
0.0,24,0.020247
0.0,29,0.020995
0.0,25,0.021734
0.0,13,0.022056
0.0,36,0.022676
0.0,44,0.023358
0.0,21,0.023679
0.0,72,0.024638
0.0,8,0.024791
0.0,26,0.02517
0.0,8,0.025321
0.0,31,0.025754
0.0,10,0.025929
0.0,14,0.026153
0.0,28,0.026548
0.0,75,0.027517
0.0,63,0.028336
0.0,7,0.028475
0.0,7,0.028614
0.0,20,0.02891
0.0,19,0.029193
0.0,32,0.029635
0.0,32,0.030074
0.0,25,0.03043
0.0,33,0.030883
0.0,34,0.031347
0.0,91,0.035077
0.0,17,0.035773
0.0,19,0.036556
0.0,20,0.037
0.0,9,0.037228
0.0,75,0.038443
0.0,53,0.039305
0.0,8,0.039495
0.0,19,0.039853
0.0,11,0.040083
0.0,25,0.040522
0.0,46,0.041253
0.0,15,0.041534
0.0,16,0.041829
0.0,29,0.04231
0.0,12,0.042546
0.0,40,0.043185
1.0,94,0.044611
0.0,21,0.045011
0.0,51,0.045804
0.0,23,0.046196
0.0,11,0.046416
0.0,90,0.047771
0.0,54,0.04884
0.0,67,0.049896
0.0,34,0.050455
0.0,14,0.050724
0.0,29,0.051593
0.0,27,0.052397
0.0,13,0.052664
0.0,6,0.05282
0.0,38,0.053433
0.0,13,0.053685
0.0,23,0.054083
0.0,21,0.054447
0.0,20,0.054793
0.0,23,0.055202
0.0,30,0.055708
0.0,20,0.056062
0.0,20,0.056404
0.0,108,0.057889
0.0,71,0.058824
0.0,54,0.059536
0.0,17,0.059798
0.0,15,0.060036
0.0,49,0.060689
0.0,26,0.061059
0.0,30,0.061477
0.0,21,0.061792
0.0,16,0.062036
0.0,90,0.06316
0.0,23,0.063493
0.0,13,0.063704
0.0,32,0.064142
0.0,12,0.06434
0.0,77,0.065349
0.0,23,0.065678
0.0,64,0.066499
0.0,17,0.066797
0.0,23,0.067187
0.0,27,0.067577
0.0,24,0.067928
0.0,40,0.068469
0.0,61,0.069266
0.0,38,0.069787
0.0,16,0.070035
0.0,33,0.070493
0.0,15,0.070727
0.0,36,0.071248
0.0,38,0.071765
0.0,11,0.071954
0.0,81,0.072999
0.0,11,0.073188
0.0,36,0.073679
0.0,101,0.074961
0.0,8,0.075113
0.0,42,0.07568
0.0,60,0.076457
0.0,56,0.077195
0.0,49,0.077843
0.0,28,0.078235
0.0,23,0.078564
0.0,20,0.078859
0.0,24,0.079203
0.0,17,0.079463
0.0,67,0.080328
0.0,9,0.080491
0.0,26,0.080861
0.0,11,0.081047
0.0,17,0.081307
0.0,7,0.081448
0.0,25,0.081832
0.0,34,0.082314
0.0,32,0.083338
0.0,33,0.083843
0.0,6,0.083976
0.0,15,0.08424
0.0,121,0.085775
0.0,77,0.086792
0.0,45,0.087404
0.0,37,0.087915
0.0,41,0.088475
0.0,8,0.088648
0.0,13,0.088865
0.0,97,0.090106
