#{"t_start": 1544998356.0760517, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,31,0.024029
0.0,46,0.025111
0.0,12,0.025548
0.0,45,0.026388
0.0,30,0.026796
0.0,12,0.02697
0.0,68,0.027789
0.0,36,0.028241
0.0,30,0.028622
0.0,32,0.029026
0.0,51,0.029673
0.0,21,0.029951
0.0,78,0.03089
0.0,159,0.032765
0.0,14,0.032961
0.0,40,0.033465
0.0,31,0.033857
0.0,11,0.034016
0.0,16,0.034233
0.0,19,0.034482
0.0,11,0.034638
0.0,5,0.034725
0.0,44,0.035258
0.0,27,0.035597
0.0,37,0.03605
0.0,47,0.036624
0.0,31,0.037011
0.0,76,0.037965
0.0,45,0.038519
0.0,14,0.038712
0.0,15,0.038915
0.0,14,0.039107
0.0,32,0.039505
0.0,29,0.039872
0.0,9,0.040006
0.0,14,0.040198
0.0,8,0.040322
0.0,17,0.040551
0.0,12,0.040721
0.0,31,0.041284
0.0,36,0.041765
0.0,23,0.042069
0.0,25,0.04239
0.0,65,0.043192
0.0,16,0.043411
0.0,153,0.045198
0.0,17,0.045436
0.0,14,0.045631
0.0,29,0.045992
0.0,21,0.046264
0.0,38,0.046733
0.0,59,0.047449
0.0,46,0.048012
0.0,57,0.048741
0.0,49,0.049358
0.0,31,0.04975
0.0,27,0.050094
0.0,23,0.050388
0.0,32,0.050787
0.0,92,0.051878
0.0,33,0.052313
0.0,18,0.052557
0.0,10,0.052705
0.0,15,0.052909
0.0,7,0.05302
0.0,65,0.053826
0.0,11,0.053986
0.0,33,0.054398
0.0,60,0.055118
0.0,108,0.056393
0.0,8,0.056517
0.0,17,0.056745
0.0,14,0.056946
0.0,31,0.057348
0.0,16,0.057592
0.0,47,0.058167
0.0,30,0.058543
0.0,32,0.058949
0.0,16,0.059199
0.0,14,0.059433
0.0,29,0.059878
0.0,33,0.060358
0.0,32,0.060771
0.0,38,0.061248
0.0,44,0.061808
0.0,25,0.06214
0.0,12,0.062321
0.0,9,0.06247
0.0,63,0.063237
0.0,60,0.063974
0.0,11,0.064144
0.0,10,0.064301
0.0,24,0.064625
0.0,9,0.064771
0.0,45,0.065331
0.0,15,0.065559
0.0,44,0.066111
0.0,10,0.066269
0.0,98,0.067497
0.0,27,0.068142
0.0,55,0.068891
0.0,28,0.069277
0.0,47,0.069887
0.0,23,0.070203
0.0,13,0.070397
0.0,23,0.070707
