#{"t_start": 1544913564.4605901, "env_id": "FrozenLake8x8-v0"}
r,l,t
0.0,34,1.797551
0.0,27,1.814994
0.0,38,1.837419
0.0,33,1.855821
0.0,27,1.875023
0.0,83,1.928802
0.0,10,1.934382
0.0,49,1.962267
0.0,20,1.975645
0.0,22,1.999107
0.0,66,2.036961
0.0,18,2.047765
0.0,59,2.081903
0.0,13,2.090747
0.0,106,2.157401
0.0,19,2.168673
0.0,140,2.249591
0.0,25,2.264925
0.0,32,2.282802
0.0,8,2.288691
0.0,33,2.307081
0.0,19,2.320331
0.0,7,2.323901
0.0,11,2.33263
0.0,14,2.340038
0.0,38,2.361269
0.0,18,2.372959
0.0,36,2.392949
0.0,17,2.405913
0.0,25,3.038352
0.0,71,3.079457
0.0,59,3.116171
0.0,27,3.134399
0.0,51,3.167791
0.0,28,3.186628
0.0,21,3.200906
0.0,13,3.209735
0.0,28,3.228691
0.0,73,3.277697
0.0,82,3.333402
0.0,7,3.339525
0.0,8,3.344125
0.0,6,3.347387
0.0,55,3.378326
0.0,33,3.397821
0.0,32,3.41897
0.0,23,3.434215
0.0,18,3.444372
0.0,38,3.467761
0.0,67,3.507245
0.0,29,3.524128
0.0,16,3.535916
0.0,29,3.555863
0.0,50,3.58668
0.0,10,3.592403
0.0,7,3.596803
0.0,25,3.611732
0.0,34,3.632277
0.0,36,3.653485
0.0,96,3.848034
0.0,37,3.877352
0.0,7,3.882249
0.0,45,3.90958
0.0,31,3.926625
0.0,23,3.940023
0.0,10,3.946372
0.0,57,3.982865
0.0,74,4.02688
0.0,40,4.05259
0.0,105,4.115484
0.0,31,4.133511
0.0,56,4.171218
0.0,53,4.208938
0.0,15,4.217982
0.0,39,4.239928
0.0,15,4.248054
0.0,16,4.259167
0.0,39,4.281439
0.0,12,4.29032
0.0,17,4.300547
0.0,23,4.314423
0.0,10,4.320356
0.0,24,4.334645
0.0,24,4.348644
0.0,36,4.369221
0.0,18,4.380631
0.0,24,4.398606
0.0,24,4.414651
0.0,16,4.424635
0.0,22,4.440241
0.0,28,4.589939
0.0,52,4.621713
0.0,48,4.653237
0.0,20,4.669064
0.0,45,4.697384
0.0,10,4.703345
0.0,28,4.720241
0.0,17,4.72998
0.0,20,4.742218
0.0,80,4.792076
0.0,81,4.841318
0.0,56,4.87464
0.0,43,4.901735
0.0,77,4.947931
0.0,45,4.973725
0.0,17,4.982838
0.0,66,5.024555
0.0,10,5.030933
0.0,8,5.036367
0.0,66,5.072438
0.0,6,5.076353
0.0,26,5.093277
0.0,16,5.101141
0.0,10,5.105358
0.0,29,5.134912
0.0,35,5.155931
0.0,16,5.165382
0.0,13,5.173167
0.0,6,5.176772
0.0,41,5.202001
0.0,71,5.394722
0.0,51,5.426163
0.0,18,5.437055
0.0,7,5.441245
0.0,27,5.457088
0.0,43,5.482313
