#{"t_start": 1544913466.2766917, "env_id": "LunarLander-v2"}
r,l,t
-102.312722,98,0.941208
-246.480257,91,0.981643
-90.797949,83,1.019699
-71.409365,61,1.046754
-8.230323,93,1.091748
-451.079875,106,1.140335
-134.432996,80,1.177614
-132.289163,70,1.207964
-129.182523,90,1.247829
-115.369393,170,1.357883
-119.155077,110,1.764255
-189.471478,84,1.804957
-57.946534,71,1.839185
-100.694272,93,1.883087
-75.321668,67,1.914583
-75.011606,74,1.948304
-201.213017,103,1.996406
-185.195924,114,2.050007
-112.636477,83,2.088019
-113.631622,78,2.123041
-86.994617,96,2.167282
-117.016507,112,2.222409
-66.289901,65,2.311126
-61.12665,73,2.342819
-168.997781,104,2.392833
-45.147505,63,2.42213
-131.318003,94,2.465767
-134.980446,119,2.522398
-110.999273,63,2.553032
-257.862829,102,2.607666
-101.246631,86,2.650551
-164.987553,75,2.696267
-115.904033,64,2.730982
-228.78296,85,2.775282
-191.132828,95,2.889092
-92.41219,76,2.923869
-126.088408,90,2.962066
-116.272257,109,3.009219
-272.455671,94,3.049175
-92.283728,115,3.098371
-108.043155,97,3.141949
-167.984576,72,3.175202
-65.125419,64,3.203701
-205.080633,74,3.236151
-124.629569,76,3.270066
-102.617006,71,3.306928
-74.902231,108,3.426111
-59.043149,82,3.464017
-86.027083,84,3.502673
-66.19998,111,3.560628
-86.639114,70,3.599237
-81.040386,100,3.652443
-108.055997,85,3.707492
-97.015156,57,3.735496
-72.481486,66,3.76812
-92.865923,99,3.811095
-159.219286,78,3.843791
-82.143792,85,3.880499
-9.079936,102,3.989439
-74.173362,77,4.024188
-141.273573,81,4.062617
-266.943094,109,4.11521
-127.512883,61,4.142968
-157.576819,94,4.184993
-92.050369,98,4.22809
-78.257497,70,4.258191
-103.634207,74,4.291224
-72.776587,87,4.332259
-43.544717,119,4.385809
-99.700871,83,4.421698
-103.744052,70,4.513108
-125.321812,92,4.555113
-176.801979,103,4.60851
-105.359281,59,4.636299
-78.217736,64,4.664691
-96.301921,99,4.713335
-98.907975,66,4.743582
-103.401084,109,4.794039
-99.337328,104,4.843579
-128.679677,90,4.887354
-88.05988,60,4.913405
-109.470697,75,4.948992
-61.365428,82,5.047395
-156.997455,98,5.091254
-136.753885,120,5.14948
-109.61294,68,5.17899
-80.992553,73,5.211087
-131.445043,84,5.331821
-101.553158,88,5.483375
14.392287,141,5.579498
-59.657869,103,5.62631
-81.159939,69,5.666115
-87.742289,89,5.721568
-54.573558,81,5.837854
-19.805974,139,5.910455
-207.624874,119,5.963793
-53.008307,131,6.022927
-95.371021,88,6.062909
-108.794159,83,6.103106
-155.907373,89,6.147862
-56.707246,93,6.194487
-69.489052,74,6.227011
-3.485833,113,6.280066
-92.906319,79,6.371827
-83.886094,76,6.406169
-78.443632,69,6.435915
-87.191136,73,6.467164
-27.903525,112,6.521059
-73.028321,92,6.569152
-92.091981,84,6.610954
-154.027938,127,6.671275
-104.864058,91,6.715002
-254.269391,131,6.778141
9.085361,84,6.817307
-62.418411,87,6.919178
-30.350481,92,6.964373
-104.256358,89,7.011113
-66.827784,95,7.056662
-58.360598,101,7.101373
-151.163224,109,7.149586
-88.464182,83,7.185559
-67.82609,96,7.22997
-38.712991,95,7.273389
-105.239454,111,7.322363
-96.285508,87,7.36009
-183.054974,81,7.460722
-77.689433,97,7.512923
-69.712574,67,7.543922
-62.003082,131,7.605948
-78.389326,71,7.639415
-145.796898,74,7.674199
-79.65812,91,7.716891
-88.06003,65,7.747616
-109.985797,94,7.789089
-36.374143,64,7.81793
-77.27555,106,7.867072
-152.282082,80,7.903014
-90.652893,74,7.997822
-37.984012,66,8.027992
-84.312372,118,8.081036
-102.307073,97,8.124536
-78.311897,108,8.174554
-83.197307,77,8.209323
-105.19365,78,8.242537
-125.458848,103,8.296078
-18.332394,97,8.388817
-59.35805,124,8.471151
-75.03871,75,8.530723
-10.688534,117,8.67653
-54.16092,62,8.711596
-71.647619,88,8.761877
-126.472302,111,8.842432
-108.568887,110,8.944509
-82.726975,73,9.002972
-131.267739,89,9.075231
-49.487313,83,9.136148
-60.621276,89,9.179007
-73.790009,86,9.223909
-85.526179,94,9.275475
-93.191159,87,9.439
-35.041795,121,9.498277
-80.51819,92,9.540906
9.629933,114,9.596917
-52.79846,96,9.642434
-46.296432,115,9.696473
-83.631599,122,9.759475
-100.526619,93,9.805561
-59.083534,103,9.860764
-47.986551,107,9.914557
-58.99047,74,10.011827
1.757731,73,10.046923
-63.160808,80,10.083893
-36.745169,73,10.119532
-41.939868,131,10.185709
-33.210285,63,10.218055
-73.682259,76,10.252777
-54.065376,73,10.288359
-44.794429,80,10.33089
-43.330045,74,10.370561
-80.236564,80,10.406849
-42.845188,116,10.46608
-23.092948,116,10.588716
-84.735048,98,10.635228
-14.678114,78,10.676268
-73.003993,75,10.711292
-68.568775,65,10.754188
-36.16367,104,10.839948
-102.491091,87,10.90146
-105.049185,95,10.948043
-14.263279,86,10.991898
-69.129323,75,11.030694
-101.7856,88,11.070895
-74.223322,88,11.109683
12.46535,75,11.20856
-46.350069,78,11.243336
4.480292,100,11.293196
-55.354888,76,11.330256
-15.871104,108,11.381683
-87.279949,99,11.427763
-24.2044,94,11.471708
10.839445,100,11.527904
-9.510491,84,11.569921
-33.300279,127,11.632935
-16.431849,97,11.681824
-125.305674,114,11.799791
-0.644668,79,11.83953
-47.734737,75,11.874547
4.25019,69,11.90823
-5.156024,96,11.955993
-45.433553,71,11.991739
1.386668,105,12.053361
-93.531836,80,12.090781
-43.771086,83,12.139273
-69.402244,102,12.193649
-100.501008,99,12.238248
-61.403367,85,12.278972
-76.324028,91,12.396162
-33.010594,90,12.438295
-45.823332,97,12.487178
-46.995164,72,12.52529
-26.314235,112,12.590173
-128.800935,99,12.640903
-45.414496,100,12.697003
-69.145789,91,12.743004
-72.665618,82,12.79055
-45.924656,98,12.837704
-83.809318,85,12.87972
-40.135094,97,12.991511
-40.400803,73,13.025167
-19.947622,79,13.064584
-82.052358,79,13.100999
-58.292198,110,13.153969
64.665709,249,13.304848
-47.556853,123,13.362055
-9.943666,78,13.398392
-75.799076,96,13.441445
-56.32934,91,13.549812
-193.339207,93,13.591747
-38.467155,79,13.628481
-58.411855,101,13.67673
-47.268899,78,13.713459
-41.041814,101,13.765621
-76.544156,99,13.81148
-39.77432,80,13.847925
-21.53272,82,13.887768
-30.62414,83,13.929079
24.795708,124,13.984619
-13.266227,78,14.080614
-54.187153,95,14.126074
-23.84658,95,14.175593
-0.967168,184,14.277028
-2.469582,144,14.353931
-51.951009,75,14.388366
-91.930901,90,14.43456
-6.744265,102,14.483734
-22.74036,84,14.524386
-42.268758,97,14.571088
-14.818877,111,14.687383
22.881914,133,14.759466
-40.319395,104,14.81436
-17.300831,112,14.875371
-68.546475,110,14.929705
-10.384726,104,14.979825
3.25461,110,15.037528
17.344935,88,15.079378
-47.33141,114,15.135719
-83.799022,101,15.264068
-43.292195,75,15.306466
3.329128,1000,16.811042
-32.485195,143,16.888158
-88.704509,112,16.938286
-190.89197,149,17.012308
-73.323034,100,17.056691
-53.753456,123,17.114013
-16.141404,100,17.164953
-59.355541,102,17.21693
-67.266131,61,17.249891
-38.93167,1000,18.778934
-84.526753,97,18.906717
-51.019839,104,18.953424
22.747765,126,19.013494
-52.103155,93,19.059045
54.897392,1000,20.828173
-106.261399,108,20.886874
4.539354,67,20.925327
-25.957536,104,20.976076
-61.637271,92,21.022515
12.169528,87,21.065287
-42.614036,67,21.094767
19.351399,74,21.132816
-6.686774,107,21.185229
-50.443273,92,21.292126
-56.016127,110,21.345023
-18.455171,78,21.383058
-52.93004,100,21.432781
-40.246124,123,21.49392
15.299466,83,21.533391
-34.107633,88,21.57877
-65.611896,111,21.6331
-74.271992,114,21.682967
-3.54185,66,21.712636
-78.415548,111,21.827791
-10.803133,100,21.876236
1.940044,71,21.910202
-37.431395,110,21.966105
7.040104,109,22.021996
-22.30401,94,22.068006
-19.765649,112,22.124768
-27.076946,112,22.186826
-62.968057,91,22.231904
-78.599526,120,22.287577
-26.423895,102,22.409033
-61.264362,107,22.462989
-33.688949,135,22.526691
-8.531214,80,22.597019
-13.713676,86,22.674321
-5.44198,70,22.721165
-81.681656,100,22.777194
-30.93779,99,22.830803
7.476266,76,22.873148
-61.415353,87,22.923388
-13.030875,70,22.958653
-13.354674,128,23.087136
-45.890136,94,23.133312
-79.714323,108,23.181427
-51.866692,90,23.230711
-46.538793,82,23.272734
-70.163784,93,23.313544
-20.690811,79,23.34979
-89.418117,104,23.405955
-60.208002,92,23.453132
-86.517706,93,23.499408
-24.540852,64,23.532134
2.804571,68,23.566863
-20.041149,91,23.681849
-42.16251,79,23.720055
-43.475955,75,23.754972
-26.804254,84,23.79504
-56.828919,87,23.839101
-23.468538,97,23.881008
-59.803927,103,23.927785
22.644697,84,23.966345
-62.111156,98,24.011884
27.690241,85,24.055948
0.489598,71,24.094398
32.212186,89,24.206281
-15.965498,116,24.267386
-37.591862,85,24.310021
-46.516075,118,24.370146
-26.234244,90,24.416029
-5.239411,109,24.470299
-41.248293,88,24.519023
-95.755367,103,24.572508
-76.377768,95,24.618968
-60.767858,95,24.665371
-58.282244,90,24.706295
-32.90194,92,24.82094
-45.761775,70,24.853851
-13.130387,81,24.892791
-23.263033,80,24.930304
1.574421,85,24.970475
43.607824,123,25.028421
-4.90868,78,25.063836
-54.065463,117,25.117551
-63.811874,88,25.159826
-1.8906,86,25.201709
-25.328788,80,25.239546
-10.091908,77,25.342705
-50.887636,103,25.393858
-84.671892,111,25.444167
24.452192,81,25.481851
-49.098159,102,25.526485
-74.368038,98,25.570154
-39.019626,108,25.623232
31.98762,69,25.655712
-37.098283,99,25.70215
-78.199727,98,25.750044
-40.823031,93,25.793719
-36.869404,91,25.902526
7.259752,92,25.950659
-7.565674,94,25.995435
-82.767447,110,26.046956
30.578823,85,26.085366
-41.268991,101,26.130729
-76.748944,105,26.17772
-25.950637,80,26.216203
-22.190891,88,26.256385
-90.5907,101,26.299749
-42.200859,97,26.344054
-93.579898,112,26.460136
-55.393299,122,26.519982
-89.372837,113,26.574098
